order_id,order_item_id,product_id,seller_id,quantity,price,freight_value
ORD0000001,1,PROD01517,SELL00280,1,32.78,11.52
ORD0000002,1,PROD01437,SELL00280,1,188.51,36.46
ORD0000002,2,PROD00920,SELL00302,1,31.76,25.86
ORD0000003,1,PROD00199,SELL00184,1,383.14,68.56
ORD0000004,1,PROD01765,SELL00186,1,455.67,48.3
ORD0000005,1,PROD01302,SELL00187,1,42.7,17.2
ORD0000006,1,PROD00778,SELL00139,1,34.88,79.21
ORD0000007,1,PROD01871,SELL00291,1,211.18,70.73
ORD0000008,1,PROD00539,SELL00383,1,49.26,48.84
ORD0000009,1,PROD00328,SELL00349,1,67.51,36.66
ORD0000010,1,PROD00235,SELL00350,1,107.03,71.36
ORD0000010,2,PROD01538,SELL00137,1,43.17,62.64
ORD0000011,1,PROD01026,SELL00391,1,77.9,18.4
ORD0000012,1,PROD01890,SELL00272,1,281.68,73.89
ORD0000012,2,PROD01227,SELL00166,1,215.22,41.65
ORD0000012,3,PROD00230,SELL00186,1,15.58,70.9
ORD0000013,1,PROD00263,SELL00338,1,32.53,40.65
ORD0000013,2,PROD01126,SELL00085,1,134.18,24.88
ORD0000014,1,PROD01843,SELL00265,1,44.8,38.86
ORD0000015,1,PROD01293,SELL00031,1,41.12,22.17
ORD0000016,1,PROD01170,SELL00296,1,40.2,40.45
ORD0000016,2,PROD01607,SELL00243,1,58.13,65.56
ORD0000016,3,PROD00390,SELL00049,1,49.71,12.27
ORD0000017,1,PROD01492,SELL00174,1,70.92,65.04
ORD0000018,1,PROD01891,SELL00039,1,145.08,38.23
ORD0000019,1,PROD00995,SELL00247,1,53.54,21.03
ORD0000020,1,PROD01427,SELL00375,1,118.02,79.66
ORD0000021,1,PROD00103,SELL00300,1,117.13,40.76
ORD0000022,1,PROD01929,SELL00292,1,152.86,23.47
ORD0000023,1,PROD00644,SELL00123,1,70.9,24.92
ORD0000023,2,PROD00269,SELL00344,1,66.26,53.41
ORD0000024,1,PROD00437,SELL00260,1,66.1,24.89
ORD0000025,1,PROD01653,SELL00335,1,38.65,44.67
ORD0000026,1,PROD00558,SELL00145,1,31.17,50.36
ORD0000027,1,PROD01699,SELL00142,1,289.36,8.31
ORD0000027,2,PROD00684,SELL00395,1,166.84,14.81
ORD0000028,1,PROD01118,SELL00019,1,80.65,67.59
ORD0000028,2,PROD01193,SELL00283,1,62.24,16.11
ORD0000028,3,PROD00262,SELL00022,1,196.92,28.12
ORD0000029,1,PROD01896,SELL00122,1,104.89,69.85
ORD0000029,2,PROD02000,SELL00091,1,174.91,71.11
ORD0000030,1,PROD00080,SELL00241,1,42.59,21.68
ORD0000031,1,PROD00143,SELL00396,1,138.5,25.93
