order_id,customer_id,order_purchase_timestamp,order_status,order_delivered_customer_date,order_estimated_delivery_date
ORD0000001,CUST001825,2017-01-26 10:00:48,delivered,2017-02-01 10:00:48,2017-02-25 10:00:48
ORD0000002,CUST003583,2017-08-27 18:23:57,delivered,2017-09-15 18:23:57,2017-09-09 18:23:57
ORD0000003,CUST005575,2017-10-12 05:39:39,delivered,2017-10-24 05:39:39,2017-10-22 05:39:39
ORD0000004,CUST008786,2017-05-08 13:46:55,delivered,2017-05-19 13:46:55,2017-06-04 13:46:55
ORD0000005,CUST004742,2017-03-23 08:28:32,shipped,,2017-04-11 08:28:32
ORD0000006,CUST001170,2018-09-16 23:07:07,delivered,2018-10-11 23:07:07,2018-09-30 23:07:07
ORD0000007,CUST000917,2017-08-23 01:10:07,delivered,2017-09-06 01:10:07,2017-09-07 01:10:07
ORD0000008,CUST006483,2018-04-15 05:12:06,delivered,2018-04-24 05:12:06,2018-05-15 05:12:06
ORD0000009,CUST002267,2018-06-06 17:58:06,delivered,2018-06-09 17:58:06,2018-06-16 17:58:06
ORD0000010,CUST007669,2018-06-26 09:09:13,canceled,,2018-07-03 09:09:13
ORD0000011,CUST002592,2018-04-10 00:07:05,processing,,2018-05-10 00:07:05
ORD0000012,CUST008318,2018-09-16 07:14:31,delivered,2018-09-23 07:14:31,2018-10-10 07:14:31
ORD0000013,CUST009296,2017-03-22 03:07:06,delivered,2017-03-26 03:07:06,2017-04-15 03:07:06
ORD0000014,CUST003296,2017-11-16 14:31:36,canceled,,2017-12-13 14:31:36
ORD0000015,CUST000345,2018-08-26 20:10:03,delivered,2018-09-04 20:10:03,2018-09-02 20:10:03
ORD0000016,CUST003900,2017-10-13 17:40:24,delivered,2017-10-19 17:40:24,2017-11-12 17:40:24
ORD0000017,CUST007652,2017-02-25 23:47:29,canceled,,2017-03-07 23:47:29
ORD0000018,CUST008787,2018-04-05 05:06:13,delivered,2018-04-15 05:06:13,2018-04-26 05:06:13
ORD0000019,CUST008857,2017-01-16 03:23:44,processing,,2017-01-30 03:23:44
ORD0000020,CUST000036,2018-02-04 09:39:20,processing,,2018-02-25 09:39:20
ORD0000021,CUST003567,2017-03-01 21:05:14,delivered,2017-03-04 21:05:14,2017-03-31 21:05:14
ORD0000022,CUST001313,2017-07-10 02:29:41,delivered,2017-08-02 02:29:41,2017-07-24 02:29:41
ORD0000023,CUST009563,2018-08-02 19:02:02,delivered,2018-08-12 19:02:02,2018-08-15 19:02:02
ORD0000024,CUST001189,2017-01-10 16:41:08,delivered,2017-01-30 16:41:08,2017-01-20 16:41:08
ORD0000025,CUST006055,2017-10-19 05:44:36,delivered,2017-11-07 05:44:36,2017-11-17 05:44:36
ORD0000026,CUST002201,2017-09-28 04:12:09,shipped,,2017-10-28 04:12:09
ORD0000027,CUST004326,2018-06-02 17:47:12,delivered,2018-06-05 17:47:12,2018-06-11 17:47:12
ORD0000028,CUST009039,2018-03-14 20:25:19,delivered,2018-03-18 20:25:19,2018-04-12 20:25:19
ORD0000029,CUST004089,2017-04-16 12:52:37,delivered,2017-05-01 12:52:37,2017-05-12 12:52:37
ORD0000030,CUST005443,2018-02-26 09:02:07,delivered,2018-03-22 09:02:07,2018-03-08 09:02:07
ORD0000031,CUST003729,2017-08-17 00:51:41,delivered,2017-08-31 00:51:41,2017-09-03 00:51:41
ORD0000032,CUST008786,2017-12-06 01:00:17,delivered,2017-12-16 01:00:17,2017-12-18 01:00:17
ORD0000033,CUST005140,2018-03-23 22:04:17,canceled,,2018-04-02 22:04:17
ORD0000034,CUST008822,2017-07-21 13:15:39,delivered,2017-08-13 13:15:39,2017-08-07 13:15:39
ORD0000035,CUST004845,2018-07-22 04:38:03,delivered,2018-08-14 04:38:03,2018-08-10 04:38:03
ORD0000036,CUST007044,2018-08-17 22:05:16,delivered,2018-09-02 22:05:16,2018-09-07 22:05:16
ORD0000037,CUST008446,2018-09-27 12:12:13,delivered,2018-10-06 12:12:13,2018-10-25 12:12:13
ORD0000038,CUST001194,2018-04-12 15:05:21,shipped,,2018-05-07 15:05:21
ORD0000039,CUST000091,2017-04-20 15:28:44,delivered,2017-05-14 15:28:44,2017-05-13 15:28:44
ORD0000040,CUST007613,2018-06-28 20:20:59,delivered,2018-07-14 20:20:59,2018-07-24 20:20:59
ORD0000041,CUST007374,2017-09-23 09:00:06,shipped,,2017-10-08 09:00:06
ORD0000042,CUST005239,2018-07-08 02:56:01,delivered,2018-07-17 02:56:01,2018-07-27 02:56:01
ORD0000043,CUST006884,2018-02-03 21:15:56,processing,,2018-02-10 21:15:56
ORD0000044,CUST008948,2018-09-10 08:01:46,delivered,2018-09-20 08:01:46,2018-09-30 08:01:46
ORD0000045,CUST007658,2017-05-11 22:39:20,delivered,2017-05-25 22:39:20,2017-06-05 22:39:20
ORD0000046,CUST004263,2018-01-24 11:55:06,delivered,2018-02-05 11:55:06,2018-02-10 11:55:06
ORD0000047,CUST008838,2017-02-23 12:44:30,delivered,2017-02-27 12:44:30,2017-03-22 12:44:30
ORD0000048,CUST002069,2018-04-30 04:09:53,delivered,2018-05-08 04:09:53,2018-05-21 04:09:53
ORD0000049,CUST000421,2017-11-16 20:57:50,delivered,2017-11-30 20:57:50,2017-12-05 20:57:50
