order_id,payment_sequential,payment_type,payment_installments,payment_value
ORD0000001,1,debit_card,1,44.3
ORD0000002,1,credit_card,3,282.59
ORD0000003,1,voucher,1,451.7
ORD0000004,1,credit_card,1,503.97
ORD0000005,1,voucher,4,59.9
ORD0000006,1,boleto,11,114.09
ORD0000007,1,voucher,4,281.91
ORD0000008,1,debit_card,6,98.1
ORD0000009,1,credit_card,7,104.17
ORD0000010,1,voucher,2,284.2
ORD0000011,1,credit_card,11,96.3
ORD0000012,1,voucher,4,698.92
ORD0000013,1,debit_card,4,232.24
ORD0000014,1,boleto,4,83.66
ORD0000015,1,credit_card,6,63.29
ORD0000016,1,debit_card,6,266.32
ORD0000017,1,credit_card,4,135.96
ORD0000018,1,credit_card,1,183.31
ORD0000019,1,debit_card,1,74.57
ORD0000020,1,debit_card,3,197.68
ORD0000021,1,boleto,1,157.89
ORD0000022,1,credit_card,10,176.33
ORD0000023,1,debit_card,6,215.49
ORD0000024,1,voucher,2,90.99
ORD0000025,1,voucher,11,83.32
ORD0000026,1,voucher,4,81.53
ORD0000027,1,voucher,3,479.32
ORD0000028,1,credit_card,6,451.63
ORD0000029,1,credit_card,3,420.76
ORD0000030,1,debit_card,6,64.27
ORD0000031,1,debit_card,11,164.43
ORD0000032,1,debit_card,6,168.62
ORD0000033,1,debit_card,1,48.09
ORD0000034,1,debit_card,6,582.13
ORD0000035,1,credit_card,5,205.86
ORD0000036,1,boleto,11,357.2
ORD0000037,1,credit_card,4,73.42
ORD0000038,1,boleto,3,169.86
ORD0000039,1,credit_card,8,126.13
ORD0000040,1,boleto,12,396.78
ORD0000041,1,voucher,4,187.57
ORD0000042,1,debit_card,1,227.73
ORD0000043,1,debit_card,7,211.2
ORD0000044,1,debit_card,12,185.86
ORD0000045,1,boleto,8,131.94
ORD0000046,1,credit_card,8,219.71
ORD0000047,1,credit_card,10,147.85
ORD0000048,1,boleto,5,449.24
ORD0000049,1,credit_card,10,360.65
ORD0000050,1,debit_card,12,525.23
ORD0000051,1,voucher,4,71.63
ORD0000052,1,voucher,3,76.55
ORD0000053,1,boleto,12,293.09
ORD0000054,1,debit_card,12,206.71
ORD0000055,1,boleto,4,303.64
ORD0000056,1,boleto,5,132.45
ORD0000057,1,debit_card,6,314.57
ORD0000058,1,boleto,3,226.2
ORD0000059,1,debit_card,8,187.61
ORD0000060,1,boleto,11,284.1
ORD0000061,1,voucher,1,139.76
ORD0000062,1,boleto,11,80.84
ORD0000063,1,debit_card,5,388.3
ORD0000064,1,credit_card,11,75.9
ORD0000065,1,voucher,11,445.02
ORD0000066,1,debit_card,9,906.6
ORD0000067,1,credit_card,4,147.39
ORD0000068,1,boleto,12,126.36
ORD0000069,1,debit_card,12,320.51
ORD0000070,1,boleto,2,47.39
ORD0000071,1,debit_card,9,482.97
ORD0000072,1,boleto,8,579.43
ORD0000073,1,boleto,7,243.95
ORD0000074,1,debit_card,6,157.51
ORD0000075,1,credit_card,8,551.59
ORD0000076,1,debit_card,10,38.39
ORD0000077,1,voucher,11,228.0
ORD0000078,1,debit_card,10,448.89
ORD0000079,1,credit_card,10,258.46
ORD0000080,1,boleto,11,140.14
ORD0000081,1,debit_card,3,61.22
ORD0000082,1,voucher,12,390.65
ORD0000083,1,credit_card,8,211.61
ORD0000084,1,voucher,10,370.88
ORD0000085,1,credit_card,2,153.69
ORD0000086,1,credit_card,8,221.6
ORD0000087,1,debit_card,5,183.27
ORD0000088,1,boleto,3,83.83
ORD0000089,1,boleto,3,62.62
ORD0000090,1,boleto,12,69.18
ORD0000091,1,credit_card,12,38.18
ORD0000092,1,boleto,5,514.79
ORD0000093,1,credit_card,11,79.65
ORD0000094,1,credit_card,6,206.8
ORD0000095,1,voucher,3,96.67
ORD0000096,1,credit_card,5,53.77
ORD0000097,1,voucher,2,213.36
ORD0000098,1,voucher,1,386.31
ORD0000099,1,boleto,7,291.28
ORD0000100,1,credit_card,11,30.28
ORD0000101,1,credit_card,5,208.6
ORD0000102,1,voucher,4,148.53
ORD0000103,1,boleto,9,98.13
ORD0000104,1,debit_card,10,232.55
ORD0000105,1,credit_card,4,430.33
ORD0000106,1,credit_card,9,73.56
ORD0000107,1,credit_card,3,169.02
ORD0000108,1,credit_card,8,614.14
ORD0000109,1,voucher,2,24.11
ORD0000110,1,debit_card,10,579.43
ORD0000111,1,credit_card,9,250.54
ORD0000112,1,voucher,7,507.98
ORD0000113,1,voucher,5,115.82
ORD0000114,1,debit_card,11,590.79
ORD0000115,1,boleto,6,120.32
ORD0000116,1,credit_card,11,250.26
ORD0000117,1,boleto,8,271.41
ORD0000118,1,debit_card,5,199.03
ORD0000119,1,credit_card,12,273.41
ORD0000120,1,debit_card,1,472.64
ORD0000121,1,voucher,3,97.58
ORD0000122,1,boleto,3,122.77
ORD0000123,1,debit_card,2,98.91
ORD0000124,1,voucher,4,124.79
ORD0000125,1,debit_card,6,519.76
ORD0000126,1,voucher,11,166.64
ORD0000127,1,credit_card,6,158.73
ORD0000128,1,voucher,5,143.85
ORD0000129,1,boleto,9,755.32
ORD0000130,1,voucher,8,101.46
ORD0000131,1,credit_card,3,170.17
ORD0000132,1,boleto,11,207.64
ORD0000133,1,boleto,2,130.95
ORD0000134,1,voucher,12,119.28
ORD0000135,1,voucher,11,169.56
ORD0000136,1,credit_card,4,458.41
ORD0000137,1,credit_card,2,88.39
ORD0000138,1,debit_card,11,192.93
ORD0000139,1,boleto,5,433.93
ORD0000140,1,credit_card,9,289.23
ORD0000141,1,voucher,11,351.29
ORD0000142,1,debit_card,5,91.06
ORD0000143,1,voucher,12,168.11
ORD0000144,1,debit_card,4,259.03
ORD0000145,1,voucher,4,170.29
ORD0000146,1,boleto,4,65.16
ORD0000147,1,debit_card,3,186.16
ORD0000148,1,debit_card,9,115.36
ORD0000149,1,credit_card,1,652.3
ORD0000150,1,debit_card,10,85.36
ORD0000151,1,credit_card,6,321.8
ORD0000152,1,boleto,12,347.26
ORD0000153,1,credit_card,4,284.36
ORD0000154,1,credit_card,12,242.88
ORD0000155,1,voucher,9,101.33
ORD0000156,1,boleto,12,267.19
ORD0000157,1,debit_card,6,72.5
ORD0000158,1,debit_card,4,43.55
ORD0000159,1,boleto,11,66.49
ORD0000160,1,debit_card,8,420.54
ORD0000161,1,credit_card,3,136.51
ORD0000162,1,debit_card,3,483.72
ORD0000163,1,voucher,10,352.4
ORD0000164,1,boleto,8,157.08
ORD0000165,1,credit_card,8,255.86
ORD0000166,1,debit_card,3,125.0
ORD0000167,1,credit_card,9,316.33
ORD0000168,1,debit_card,2,132.46
ORD0000169,1,debit_card,11,251.51
ORD0000170,1,credit_card,9,163.55
ORD0000171,1,debit_card,7,196.14
