product_id,product_category_name,base_price,weight_g,length_cm,height_cm,width_cm
PROD00001,,90.01,293.0,32.6,10.6,11.4
PROD00002,,112.89,645.0,36.4,27.6,26.7
PROD00003,,209.7,1449.0,78.6,7.8,37.8
PROD00004,,43.74,725.0,78.0,67.9,32.0
PROD00005,,153.39,320.0,52.3,57.7,63.0
PROD00006,,26.7,285.0,74.6,47.3,24.3
PROD00007,,85.74,432.0,50.6,71.7,69.4
PROD00008,,67.36,641.0,86.6,13.3,21.9
PROD00009,,45.71,449.0,40.0,58.6,32.1
PROD00010,,177.31,208.0,93.5,16.0,38.6
PROD00011,toys,185.45,636.0,58.8,9.6,26.8
PROD00012,bed_bath_table,191.56,708.0,58.2,15.0,62.5
PROD00013,health_beauty,110.36,238.0,70.4,76.3,35.7
PROD00014,garden_tools,30.38,718.0,40.7,38.0,71.5
PROD00015,auto,62.6,434.0,75.2,8.7,77.3
PROD00016,sports_leisure,182.13,540.0,38.8,48.8,69.5
PROD00017,watches_gifts,180.22,546.0,45.8,20.0,44.2
PROD00018,bed_bath_table,212.16,480.0,70.7,5.5,43.2
PROD00019,cool_stuff,104.72,318.0,44.1,61.9,21.2
PROD00020,cool_stuff,70.42,545.0,28.0,16.6,49.4
PROD00021,health & beauty,16.91,415.0,88.5,75.7,76.5
PROD00022,health & beauty,162.41,492.0,93.0,49.5,11.0
PROD00023,health & beauty,75.24,343.0,66.4,11.5,61.4
PROD00024,health & beauty,29.87,511.0,83.0,21.3,70.2
PROD00025,health & beauty,149.93,403.0,98.8,50.8,79.0
PROD00026,auto,253.57,221.0,65.3,30.4,30.1
PROD00027,watches_gifts,163.01,557.0,91.8,44.9,31.7
PROD00028,bed_bath_table,139.76,771.0,42.3,65.0,22.2
PROD00029,auto,171.87,516.0,73.0,64.4,64.2
PROD00030,furniture_decor,15.0,364.0,15.0,57.3,15.5
PROD00031,housewares,322.77,515.0,81.0,71.5,25.1
PROD00032,computers_accessories,43.23,272.0,84.7,20.0,27.1
PROD00033,health_beauty,46.38,653.0,46.1,18.3,33.1
PROD00034,furniture_decor,55.88,690.0,67.5,65.0,36.6
PROD00035,sports_leisure,61.23,397.0,87.3,29.1,46.9
PROD00036,toys,270.51,438.0,89.5,43.4,76.1
PROD00037,computers_accessories,125.85,221.0,19.6,60.8,23.5
PROD00038,garden_tools,47.33,576.0,84.5,34.7,63.4
PROD00039,bed_bath_table,53.42,355.0,34.7,14.8,55.7
PROD00040,computers_accessories,599.14,100.0,75.5,56.0,13.7
PROD00041,sports_leisure,108.03,436.0,39.3,66.3,65.8
PROD00042,sports_leisure,57.66,382.0,15.1,6.0,11.8
PROD00043,furniture_decor,22.25,222.0,28.9,47.2,60.4
PROD00044,health_beauty,21.32,731.0,46.8,40.2,58.7
PROD00045,furniture_decor,33.33,315.0,76.7,24.5,56.7
PROD00046,auto,87.94,263.0,19.1,17.1,25.8
PROD00047,garden_tools,197.85,791.0,83.2,19.1,48.0
PROD00048,electronics,133.33,520.0,99.7,59.4,62.1
PROD00049,toys,208.36,227.0,80.9,45.2,52.8
PROD00050,electronics,128.08,405.0,52.6,78.6,65.3
PROD00051,health_beauty,30.55,255.0,61.1,23.2,56.6
PROD00052,bed_bath_table,114.42,192.0,10.6,76.8,25.6
PROD00053,bed_bath_table,118.4,184.0,28.8,43.6,16.5
PROD00054,housewares,73.99,615.0,90.9,16.0,52.4
PROD00055,health_beauty,63.77,254.0,12.0,16.1,62.0
PROD00056,cool_stuff,72.34,226.0,91.4,50.6,15.7
PROD00057,health_beauty,23.64,357.0,20.2,67.4,18.1
PROD00058,bed_bath_table,28.06,1905.0,22.0,61.1,5.9
PROD00059,electronics,622.29,540.0,25.8,54.2,44.9
PROD00060,computers_accessories,29.93,668.0,81.9,17.9,45.7
PROD00061,bed_bath_table,19.82,231.0,53.0,13.1,42.5
PROD00062,computers_accessories,45.77,528.0,23.1,5.0,28.7
PROD00063,sports_leisure,117.6,407.0,71.8,12.6,37.1
PROD00064,sports_leisure,127.61,268.0,94.7,62.5,62.5
PROD00065,toys,35.9,358.0,61.5,72.1,18.6
PROD00066,auto,87.99,278.0,18.9,23.0,20.1
PROD00067,electronics,52.68,442.0,14.9,64.6,55.0
PROD00068,electronics,94.84,359.0,81.6,19.9,70.0
PROD00069,garden_tools,64.42,278.0,66.3,23.7,30.5
PROD00070,toys,46.75,352.0,93.0,21.8,75.0
PROD00071,health_beauty,48.46,687.0,59.3,8.9,9.3
PROD00072,electronics,15.0,204.0,15.6,19.6,13.9
PROD00073,furniture_decor,68.22,294.0,46.3,33.0,39.5
PROD00074,electronics,76.62,495.0,69.2,35.4,59.3
PROD00075,electronics,26.4,283.0,44.6,28.2,32.8
PROD00076,computers_accessories,62.22,862.0,100.0,43.6,46.6
PROD00077,cool_stuff,66.41,808.0,46.5,33.3,7.1
PROD00078,toys,18.49,834.0,59.2,77.8,39.6
PROD00079,sports_leisure,43.94,598.0,30.3,65.6,23.2
PROD00080,furniture_decor,42.84,725.0,23.7,74.8,43.7
PROD00081,auto,94.05,409.0,68.1,46.8,44.4
PROD00082,garden_tools,220.56,287.0,63.0,55.9,61.5
PROD00083,furniture_decor,84.59,298.0,10.4,17.5,45.5
PROD00084,toys,205.96,159.0,35.6,61.5,51.1
PROD00085,bed_bath_table,68.17,327.0,67.9,22.7,44.7
PROD00086,housewares,109.62,339.0,83.1,15.9,79.3
PROD00087,furniture_decor,85.92,364.0,38.1,8.1,64.4
PROD00088,toys,560.68,1833.0,68.3,40.4,61.7
PROD00089,watches_gifts,72.1,261.0,33.9,26.5,52.0
PROD00090,auto,152.32,354.0,72.1,79.0,44.6
PROD00091,watches_gifts,95.79,1470.0,72.8,23.7,30.9
PROD00092,garden_tools,200.44,267.0,21.7,70.0,63.8
PROD00093,garden_tools,135.06,218.0,69.9,28.7,19.2
PROD00094,furniture_decor,106.97,360.0,40.0,61.2,7.7
PROD00095,cool_stuff,32.68,266.0,25.5,54.5,57.4
PROD00096,furniture_decor,35.06,777.0,55.0,47.1,15.9
PROD00097,cool_stuff,49.75,442.0,50.7,36.3,72.8
PROD00098,computers_accessories,64.46,209.0,79.6,55.3,62.8
PROD00099,bed_bath_table,89.02,489.0,17.6,35.5,50.2
PROD00100,toys,49.85,453.0,81.1,46.1,28.5
PROD00101,garden_tools,16.75,177.0,19.5,49.2,52.8
PROD00102,garden_tools,185.29,527.0,28.7,25.1,40.8
PROD00103,electronics,116.49,544.0,56.4,30.5,26.8
PROD00104,garden_tools,85.47,180.0,51.7,6.4,75.9
PROD00105,garden_tools,222.09,195.0,99.0,68.9,17.1
PROD00106,sports_leisure,42.82,327.0,63.1,61.7,61.5
PROD00107,cool_stuff,73.35,278.0,39.5,18.8,65.0
PROD00108,cool_stuff,92.54,577.0,91.0,32.2,76.4
PROD00109,sports_leisure,58.43,311.0,38.1,36.6,46.2
PROD00110,sports_leisure,43.1,363.0,34.6,30.1,45.1
PROD00111,auto,163.99,214.0,54.5,64.9,74.0
PROD00112,housewares,102.23,713.0,92.2,59.4,65.1
PROD00113,health_beauty,134.18,256.0,73.8,62.5,62.3
PROD00114,electronics,42.14,217.0,71.0,72.8,64.2
PROD00115,sports_leisure,158.22,416.0,75.3,49.6,42.0
PROD00116,computers_accessories,49.47,768.0,69.4,51.1,8.1
PROD00117,bed_bath_table,99.26,529.0,78.4,59.1,19.9
PROD00118,housewares,396.89,288.0,27.3,56.1,53.2
PROD00119,garden_tools,161.04,316.0,26.0,70.2,34.7
PROD00120,electronics,106.84,180.0,42.6,62.8,50.5
PROD00121,health_beauty,239.94,1280.0,86.6,14.0,46.4
PROD00122,health_beauty,51.64,1024.0,74.3,74.6,37.9
PROD00123,auto,120.6,480.0,61.0,56.2,22.6
PROD00124,computers_accessories,41.87,401.0,11.8,14.5,58.9
PROD00125,health_beauty,60.98,205.0,31.2,62.9,73.2
PROD00126,watches_gifts,290.78,370.0,82.3,31.9,62.7
PROD00127,toys,101.39,689.0,31.8,65.4,14.0
PROD00128,garden_tools,251.07,625.0,75.7,76.7,45.3
PROD00129,watches_gifts,75.03,308.0,26.6,24.1,67.7
PROD00130,health_beauty,216.29,652.0,64.6,69.3,49.3
PROD00131,health_beauty,84.89,808.0,66.5,63.0,38.0
PROD00132,electronics,90.65,412.0,77.7,55.3,26.3
PROD00133,health_beauty,83.04,727.0,49.5,33.9,29.8
PROD00134,auto,108.69,1086.0,66.9,13.2,23.2
PROD00135,watches_gifts,66.21,1273.0,53.8,41.3,19.7
PROD00136,sports_leisure,26.81,281.0,95.3,12.9,49.2
PROD00137,sports_leisure,79.16,526.0,57.0,42.5,43.2
PROD00138,electronics,90.55,615.0,28.9,66.5,60.1
PROD00139,sports_leisure,301.24,399.0,70.1,79.8,28.1
PROD00140,bed_bath_table,15.0,851.0,59.4,19.9,39.6
PROD00141,computers_accessories,297.04,417.0,82.3,20.6,56.0
PROD00142,watches_gifts,188.41,368.0,25.9,65.8,77.2
PROD00143,toys,140.96,183.0,33.5,40.2,31.2
PROD00144,sports_leisure,92.15,146.0,92.9,73.7,27.4
PROD00145,garden_tools,36.01,327.0,93.7,62.7,38.7
PROD00146,watches_gifts,387.86,100.0,49.8,60.2,59.3
PROD00147,electronics,218.7,851.0,14.3,12.6,77.1
PROD00148,computers_accessories,99.55,688.0,37.6,7.7,45.2
PROD00149,health_beauty,102.36,610.0,32.2,28.8,65.9
PROD00150,furniture_decor,74.66,787.0,47.3,21.3,39.8
PROD00151,auto,131.04,342.0,38.6,58.4,8.0
PROD00152,sports_leisure,78.61,461.0,84.6,38.8,72.1
PROD00153,garden_tools,104.2,323.0,10.3,44.2,26.7
PROD00154,computers_accessories,115.63,785.0,68.0,66.0,15.4
PROD00155,sports_leisure,569.21,100.0,69.8,40.9,79.7
PROD00156,garden_tools,39.32,785.0,69.5,45.9,31.1
PROD00157,auto,92.57,135.0,56.9,68.2,15.2
PROD00158,garden_tools,217.45,357.0,65.0,37.4,28.4
PROD00159,auto,157.8,215.0,82.9,11.2,43.5
PROD00160,computers_accessories,140.04,372.0,80.6,44.1,11.6
PROD00161,cool_stuff,800.0,290.0,13.1,48.5,31.4
PROD00162,bed_bath_table,194.48,320.0,12.7,43.4,55.2
PROD00163,electronics,49.41,560.0,85.5,24.4,73.7
PROD00164,sports_leisure,45.08,462.0,61.7,21.8,34.8
PROD00165,sports_leisure,78.99,735.0,96.2,32.7,47.3
PROD00166,computers_accessories,57.46,519.0,48.8,17.5,52.7
PROD00167,cool_stuff,86.79,155.0,25.9,55.0,10.3
PROD00168,bed_bath_table,106.74,1654.0,52.6,51.1,30.7
PROD00169,bed_bath_table,101.36,123.0,49.3,52.4,56.3
PROD00170,sports_leisure,15.0,487.0,56.5,21.9,60.2
PROD00171,electronics,44.5,627.0,82.7,23.5,31.7
PROD00172,health_beauty,144.43,481.0,69.0,64.1,5.5
PROD00173,auto,303.36,358.0,26.7,56.8,5.5
PROD00174,housewares,58.97,984.0,76.1,70.6,45.4
PROD00175,sports_leisure,59.2,792.0,63.3,35.3,46.4
PROD00176,health_beauty,75.84,398.0,62.0,46.0,46.7
PROD00177,sports_leisure,323.67,308.0,71.0,60.4,59.1
PROD00178,health_beauty,85.03,247.0,60.8,78.1,74.1
PROD00179,sports_leisure,15.0,259.0,51.2,79.2,79.3
PROD00180,computers_accessories,340.4,389.0,67.6,79.9,57.6
PROD00181,housewares,141.64,149.0,75.1,71.8,43.5
PROD00182,watches_gifts,28.95,402.0,30.3,53.0,15.6
PROD00183,watches_gifts,54.11,653.0,54.7,5.5,33.8
PROD00184,toys,43.1,288.0,51.2,57.5,47.9
PROD00185,auto,68.91,398.0,13.6,22.9,80.0
PROD00186,computers_accessories,267.65,485.0,85.1,9.3,14.5
PROD00187,housewares,18.29,540.0,44.0,57.3,64.5
PROD00188,cool_stuff,61.88,358.0,16.5,61.7,79.9
PROD00189,health_beauty,89.03,1160.0,51.2,54.5,65.4
PROD00190,auto,77.05,404.0,24.5,32.4,62.5
PROD00191,housewares,43.06,182.0,73.4,43.3,24.4
PROD00192,bed_bath_table,211.02,320.0,61.5,75.1,5.3
PROD00193,auto,71.73,879.0,34.3,59.7,21.9
PROD00194,computers_accessories,64.73,839.0,95.5,42.9,64.2
PROD00195,toys,107.44,144.0,36.3,49.5,13.0
PROD00196,computers_accessories,65.09,337.0,59.9,74.6,27.2
PROD00197,health_beauty,52.3,294.0,82.1,34.5,47.2
PROD00198,watches_gifts,38.85,644.0,56.3,12.6,48.5
PROD00199,garden_tools,469.68,204.0,96.5,29.4,45.7
PROD00200,furniture_decor,153.64,1029.0,85.9,36.1,78.6
PROD00201,garden_tools,59.99,167.0,92.9,25.5,5.9
PROD00202,cool_stuff,225.22,371.0,43.5,44.7,41.6
PROD00203,electronics,123.81,196.0,59.4,27.9,42.8
PROD00204,furniture_decor,84.0,598.0,85.6,12.7,27.0
PROD00205,computers_accessories,35.76,117.0,91.3,19.1,44.4
PROD00206,housewares,42.0,364.0,95.0,73.9,55.5
PROD00207,health_beauty,176.76,360.0,89.1,52.2,55.5
PROD00208,sports_leisure,148.68,236.0,75.8,28.6,11.6
PROD00209,cool_stuff,27.16,838.0,12.2,32.5,65.2
PROD00210,electronics,58.78,1121.0,38.3,42.0,74.8
PROD00211,watches_gifts,140.33,317.0,21.6,55.5,14.3
PROD00212,cool_stuff,198.33,436.0,23.9,48.7,36.2
PROD00213,auto,122.92,279.0,36.2,75.0,43.4
PROD00214,electronics,56.54,189.0,16.7,51.9,15.1
PROD00215,toys,98.38,206.0,31.9,73.3,42.8
PROD00216,health_beauty,68.81,210.0,96.1,5.4,20.5
PROD00217,computers_accessories,110.56,854.0,38.1,71.8,75.2
PROD00218,bed_bath_table,265.73,522.0,24.4,59.1,38.6
PROD00219,bed_bath_table,43.56,228.0,74.6,17.9,79.6
PROD00220,health_beauty,101.98,240.0,84.6,24.7,8.5
PROD00221,furniture_decor,75.39,222.0,38.3,45.7,14.6
PROD00222,bed_bath_table,66.01,131.0,35.1,14.4,38.2
PROD00223,computers_accessories,72.83,551.0,31.8,63.9,70.6
PROD00224,toys,232.96,374.0,45.4,64.3,46.6
PROD00225,cool_stuff,129.49,1125.0,17.9,27.6,59.9
PROD00226,sports_leisure,55.52,116.0,70.2,10.2,36.8
PROD00227,auto,136.96,671.0,84.0,79.2,8.0
PROD00228,garden_tools,52.09,708.0,69.7,23.8,53.6
PROD00229,housewares,19.46,766.0,47.9,10.1,52.6
PROD00230,garden_tools,15.0,467.0,36.0,29.7,10.4
PROD00231,furniture_decor,121.59,702.0,46.9,77.7,17.8
PROD00232,bed_bath_table,64.88,485.0,48.1,64.5,40.7
PROD00233,cool_stuff,180.9,257.0,69.9,41.0,38.5
PROD00234,sports_leisure,111.02,317.0,93.5,27.9,61.4
PROD00235,auto,100.33,312.0,16.4,36.7,34.1
PROD00236,electronics,56.79,811.0,95.8,6.3,54.7
PROD00237,electronics,123.63,869.0,91.9,58.9,57.8
PROD00238,toys,281.86,658.0,20.6,12.5,53.4
PROD00239,cool_stuff,16.19,419.0,26.5,43.9,49.7
PROD00240,cool_stuff,72.25,117.0,38.0,47.4,65.4
PROD00241,watches_gifts,238.92,661.0,60.4,5.1,54.3
PROD00242,health_beauty,32.58,645.0,22.1,78.5,67.6
PROD00243,electronics,90.63,479.0,28.0,27.7,52.8
PROD00244,electronics,47.15,538.0,91.2,10.8,16.9
PROD00245,housewares,65.75,248.0,19.8,69.1,28.2
PROD00246,watches_gifts,19.72,328.0,45.9,16.4,29.8
PROD00247,electronics,179.07,247.0,78.7,6.9,12.0
PROD00248,housewares,91.88,368.0,90.0,42.1,56.9
PROD00249,garden_tools,25.65,683.0,40.2,14.7,49.6
PROD00250,cool_stuff,113.85,525.0,24.8,78.7,49.2
PROD00251,bed_bath_table,96.2,216.0,76.3,5.8,40.9
PROD00252,toys,46.94,1211.0,79.5,8.8,45.7
PROD00253,sports_leisure,393.29,448.0,98.2,67.5,5.6
PROD00254,housewares,123.09,269.0,22.6,23.0,12.2
PROD00255,housewares,228.65,337.0,73.8,73.4,56.3
PROD00256,auto,71.6,289.0,47.6,28.3,24.6
PROD00257,computers_accessories,22.2,462.0,92.3,10.2,13.1
PROD00258,housewares,15.0,182.0,46.7,5.8,29.6
PROD00259,health_beauty,36.19,481.0,50.1,26.2,24.1
PROD00260,toys,239.44,668.0,21.4,40.5,7.2
PROD00261,electronics,54.17,599.0,38.9,5.1,35.8
PROD00262,toys,187.35,473.0,46.1,48.6,7.0
PROD00263,watches_gifts,32.04,570.0,11.6,30.0,5.0
PROD00264,cool_stuff,47.94,511.0,49.4,34.3,64.4
PROD00265,health_beauty,53.8,756.0,40.3,24.6,28.6
PROD00266,sports_leisure,97.53,349.0,82.3,44.7,47.6
PROD00267,electronics,27.61,233.0,19.6,22.3,27.3
PROD00268,furniture_decor,43.14,502.0,78.4,15.1,74.8
PROD00269,computers_accessories,67.59,773.0,74.3,71.8,59.7
PROD00270,furniture_decor,27.82,319.0,31.8,34.3,32.7
