review_id,order_id,review_score,review_comment_title
REV0000001,ORD0000001,1,Service issue
REV0000002,ORD0000002,5,No comment
REV0000003,ORD0000003,5,No comment
REV0000004,ORD0000004,5,No comment
REV0000005,ORD0000005,5,No comment
REV0000006,ORD0000006,4,No comment
REV0000007,ORD0000007,5,No comment
REV0000008,ORD0000008,3,Service issue
REV0000009,ORD0000009,4,No comment
REV0000010,ORD0000010,4,No comment
REV0000011,ORD0000011,4,No comment
REV0000012,ORD0000012,2,Service issue
REV0000013,ORD0000013,5,No comment
REV0000014,ORD0000014,2,Service issue
REV0000015,ORD0000015,2,Service issue
REV0000016,ORD0000016,4,No comment
REV0000017,ORD0000017,3,Service issue
REV0000018,ORD0000018,5,No comment
REV0000019,ORD0000019,3,Service issue
REV0000020,ORD0000020,3,Service issue
REV0000021,ORD0000021,5,No comment
REV0000022,ORD0000022,2,Service issue
REV0000023,ORD0000023,5,No comment
REV0000024,ORD0000024,5,No comment
REV0000025,ORD0000025,3,Service issue
REV0000026,ORD0000026,5,No comment
REV0000027,ORD0000027,5,No comment
REV0000028,ORD0000028,3,Service issue
REV0000029,ORD0000029,5,No comment
REV0000030,ORD0000030,4,No comment
REV0000031,ORD0000031,5,No comment
REV0000032,ORD0000032,5,No comment
REV0000033,ORD0000033,5,No comment
REV0000034,ORD0000034,4,No comment
REV0000035,ORD0000035,4,No comment
REV0000036,ORD0000036,2,Service issue
REV0000037,ORD0000037,5,No comment
REV0000038,ORD0000038,5,No comment
REV0000039,ORD0000039,3,Service issue
REV0000040,ORD0000040,5,No comment
REV0000041,ORD0000041,4,No comment
REV0000042,ORD0000042,3,Service issue
REV0000043,ORD0000043,5,No comment
REV0000044,ORD0000044,3,Service issue
REV0000045,ORD0000045,3,Service issue
REV0000046,ORD0000046,1,Service issue
REV0000047,ORD0000047,3,Service issue
REV0000048,ORD0000048,3,Service issue
REV0000049,ORD0000049,5,No comment
REV0000050,ORD0000050,3,Service issue
REV0000051,ORD0000051,5,No comment
REV0000052,ORD0000052,4,No comment
REV0000053,ORD0000053,4,No comment
REV0000054,ORD0000054,5,No comment
REV0000055,ORD0000055,5,No comment
REV0000056,ORD0000056,2,Service issue
REV0000057,ORD0000057,3,Service issue
REV0000058,ORD0000058,5,No comment
REV0000059,ORD0000059,5,No comment
REV0000060,ORD0000060,3,Service issue
REV0000061,ORD0000061,4,No comment
REV0000062,ORD0000062,3,Service issue
REV0000063,ORD0000063,5,No comment
REV0000064,ORD0000064,5,No comment
REV0000065,ORD0000065,3,Service issue
REV0000066,ORD0000066,5,No comment
REV0000067,ORD0000067,4,No comment
REV0000068,ORD0000068,3,Service issue
REV0000069,ORD0000069,4,No comment
REV0000070,ORD0000070,4,No comment
REV0000071,ORD0000071,4,No comment
REV0000072,ORD0000072,5,No comment
REV0000073,ORD0000073,5,No comment
REV0000074,ORD0000074,5,No comment
REV0000075,ORD0000075,3,Service issue
REV0000076,ORD0000076,5,No comment
REV0000077,ORD0000077,1,Service issue
REV0000078,ORD0000078,4,No comment
REV0000079,ORD0000079,5,No comment
REV0000080,ORD0000080,2,Service issue
REV0000081,ORD0000081,3,Service issue
REV0000082,ORD0000082,5,No comment
REV0000083,ORD0000083,4,No comment
REV0000084,ORD0000084,4,No comment
REV0000085,ORD0000085,4,No comment
REV0000086,ORD0000086,5,No comment
REV0000087,ORD0000087,3,Service issue
REV0000088,ORD0000088,5,No comment
REV0000089,ORD0000089,5,No comment
REV0000090,ORD0000090,4,No comment
REV0000091,ORD0000091,5,No comment
REV0000092,ORD0000092,5,No comment
REV0000093,ORD0000093,5,No comment
REV0000094,ORD0000094,4,No comment
REV0000095,ORD0000095,5,No comment
REV0000096,ORD0000096,5,No comment
REV0000097,ORD0000097,5,No comment
REV0000098,ORD0000098,3,Service issue
