customer_id,customer_segment,acquisition_channel,sales_rep_id,first_contact_date,last_contact_date
CUST000001,Loyal,Marketplace,REP026,2017-01-01 12:05:39,2018-08-08 22:02:32
CUST000002,Regular,Email,REP009,2018-04-01 06:46:29,2018-06-22 17:50:36
CUST000003,Loyal,Social,REP006,2017-03-08 15:24:40,2018-09-21 16:06:23
CUST000004,Regular,Social,REP009,2017-02-05 10:21:27,2018-06-27 02:06:57
CUST000005,Loyal,Email,REP010,2017-02-01 22:32:49,2018-09-10 02:53:20
CUST000006,Regular,Social,REP018,2017-11-06 19:45:51,2018-07-30 18:23:06
CUST000007,Loyal,Referral,REP025,2017-04-28 20:42:40,2018-08-26 01:21:54
CUST000008,Regular,Paid Search,REP019,2017-01-06 13:17:01,2017-09-08 18:49:03
CUST000009,Inactive,Referral,REP015,2017-06-27 13:45:48,2017-06-27 13:45:48
CUST000010,Regular,Paid Search,REP005,2017-05-09 12:46:10,2018-02-27 13:06:38
CUST000011,Regular,Marketplace,REP013,2018-01-02 19:02:24,2018-01-21 22:01:16
CUST000012,Regular,Marketplace,REP025,2017-08-21 18:21:23,2018-05-02 23:19:07
CUST000013,Loyal,Social,REP030,2017-03-14 01:14:59,2018-06-12 16:12:59
CUST000014,Loyal,Organic,REP019,2017-02-24 15:11:59,2017-10-13 06:58:23
CUST000015,Regular,Organic,REP022,2017-12-18 07:59:29,2018-06-17 05:58:41
CUST000016,Inactive,Marketplace,REP007,2017-11-13 20:24:07,2017-11-13 20:24:07
CUST000017,Loyal,Paid Search,REP006,2017-01-07 18:42:37,2018-04-21 22:36:00
CUST000018,Inactive,Referral,REP018,2017-02-05 15:01:51,2017-02-05 15:01:51
CUST000019,Loyal,Paid Search,REP030,2017-04-04 05:00:13,2018-07-10 16:49:12
CUST000020,VIP,Social,REP019,2017-01-15 06:52:41,2018-01-14 15:11:21
CUST000021,Loyal,Social,REP024,2017-03-02 19:44:20,2018-03-31 12:52:42
CUST000022,Regular,Marketplace,REP023,2017-07-23 03:10:27,2018-08-24 09:41:22
CUST000023,Inactive,Paid Search,REP003,2017-03-14 14:00:46,2017-03-14 14:00:46
CUST000024,Regular,Social,REP004,2017-09-18 13:36:36,2018-06-15 05:46:53
CUST000025,Loyal,Social,REP018,2017-04-16 21:09:55,2017-11-02 04:54:32
CUST000026,Loyal,Paid Search,REP005,2017-03-10 05:26:46,2017-09-29 22:58:47
CUST000027,Regular,Social,REP001,2017-04-24 19:11:07,2017-06-15 00:17:29
CUST000028,Regular,Email,REP016,2018-06-29 14:10:23,2018-07-23 01:06:55
CUST000029,Regular,Referral,REP001,2018-02-12 17:15:53,2018-08-26 19:37:14
CUST000030,Regular,Paid Search,REP014,2018-07-15 20:52:53,2018-09-28 07:06:21
CUST000031,Inactive,Organic,REP030,2017-03-05 00:00:00,2017-03-05 00:00:00
CUST000032,Loyal,Referral,REP021,2017-01-10 20:23:28,2018-09-23 10:12:21
CUST000033,Loyal,Paid Search,REP028,2017-07-31 13:05:45,2018-06-25 16:14:04
CUST000034,Loyal,Referral,REP014,2017-02-23 09:17:20,2018-09-30 14:55:44
CUST000035,Inactive,Referral,REP010,2018-01-21 00:00:00,2018-01-21 00:00:00
CUST000036,Regular,Marketplace,REP024,2017-04-08 13:39:51,2018-02-04 09:39:20
CUST000037,Loyal,Paid Search,REP001,2017-02-09 17:41:01,2018-08-16 04:06:54
CUST000038,Loyal,Social,REP005,2017-01-16 23:57:37,2018-09-18 22:49:43
CUST000039,New,Marketplace,REP025,2018-05-22 18:42:05,2018-05-22 18:42:05
CUST000040,Loyal,Email,REP028,2017-03-10 17:02:22,2018-07-21 18:38:08
CUST000041,Inactive,Organic,REP030,2017-12-11 00:00:00,2017-12-11 00:00:00
CUST000042,Regular,Organic,REP001,2017-09-07 13:16:52,2018-03-27 10:44:27
CUST000043,Inactive,Organic,REP006,2017-03-11 03:21:39,2017-03-11 03:21:39
CUST000044,Inactive,Email,REP012,2018-02-13 03:46:39,2018-02-13 03:46:39
CUST000045,Loyal,Organic,REP014,2017-02-02 06:12:58,2018-09-21 03:57:13
CUST000046,Loyal,Social,REP008,2017-03-16 20:46:59,2018-03-09 16:08:32
CUST000047,Regular,Referral,REP027,2018-02-15 16:48:39,2018-07-03 10:53:44
CUST000048,Regular,Organic,REP030,2017-01-16 11:37:20,2017-02-25 01:12:36
CUST000049,Inactive,Referral,REP020,2017-03-18 23:03:17,2017-03-18 23:03:17
CUST000050,Loyal,Referral,REP009,2017-04-06 11:29:39,2018-01-04 05:39:29
CUST000051,Loyal,Organic,REP030,2017-02-17 03:22:50,2018-09-28 07:46:50
CUST000052,Loyal,Organic,REP005,2017-08-27 06:45:45,2018-08-05 00:34:34
CUST000053,Loyal,Email,REP026,2017-11-15 09:58:02,2018-09-02 12:20:20
CUST000054,Inactive,Organic,REP012,2017-08-07 00:00:00,2017-08-07 00:00:00
CUST000055,Regular,Social,REP004,2017-11-04 09:30:08,2018-01-05 04:33:15
CUST000056,Loyal,Organic,REP028,2017-02-07 21:43:36,2017-08-28 15:57:10
CUST000057,Loyal,Marketplace,REP003,2017-02-07 21:14:51,2018-09-06 19:48:04
CUST000058,Loyal,Email,REP020,2017-01-15 08:55:54,2018-06-22 01:12:54
CUST000059,Regular,Referral,REP029,2017-01-04 01:09:16,2018-02-05 11:35:53
CUST000060,Loyal,Marketplace,REP024,2017-01-18 04:14:52,2018-09-02 00:44:11
CUST000061,Regular,Email,REP004,2017-04-22 04:06:03,2017-04-24 03:16:33
CUST000062,Regular,Social,REP005,2017-05-12 01:41:33,2018-02-07 18:50:58
CUST000063,Inactive,Referral,REP028,2017-07-14 04:04:04,2017-07-14 04:04:04
CUST000064,Inactive,Paid Search,REP002,2017-09-16 17:13:48,2017-09-16 17:13:48
CUST000065,VIP,Referral,REP005,2017-04-01 03:51:47,2018-09-08 04:07:14
CUST000066,Regular,Email,REP030,2018-04-03 23:00:24,2018-05-09 18:59:36
CUST000067,Loyal,Social,REP009,2017-01-30 18:12:37,2018-06-24 23:58:41
CUST000068,Loyal,Social,REP006,2017-05-04 23:03:51,2018-08-01 07:48:04
CUST000069,Loyal,Social,REP022,2017-05-01 04:23:42,2018-06-10 17:30:43
CUST000070,Loyal,Marketplace,REP026,2017-02-06 17:48:04,2017-08-04 13:13:05
CUST000071,Regular,Paid Search,REP004,2017-01-27 17:29:32,2017-05-30 20:06:02
CUST000072,Loyal,Marketplace,REP010,2017-03-15 04:10:40,2018-06-19 14:28:51
CUST000073,Regular,Email,REP023,2017-11-20 08:53:38,2018-07-11 10:17:51
CUST000074,Loyal,Marketplace,REP013,2017-07-04 15:59:57,2017-11-26 04:16:55
CUST000075,Loyal,Referral,REP013,2017-02-12 03:19:20,2017-12-04 22:09:02
CUST000076,Inactive,Email,REP009,2018-02-19 05:44:45,2018-02-19 05:44:45
CUST000077,Loyal,Organic,REP022,2017-01-30 06:01:09,2017-12-18 09:04:45
CUST000078,Loyal,Social,REP004,2017-04-10 22:37:51,2018-07-18 08:36:14
CUST000079,Loyal,Email,REP001,2017-08-10 05:33:29,2018-06-13 07:22:23
CUST000080,Inactive,Email,REP009,2017-09-19 19:57:19,2017-09-19 19:57:19
CUST000081,Loyal,Referral,REP017,2017-10-29 06:21:12,2018-06-11 08:59:10
CUST000082,Loyal,Social,REP004,2017-04-17 19:16:59,2017-12-23 01:02:56
CUST000083,Regular,Social,REP012,2017-07-09 04:36:39,2018-02-21 07:32:29
CUST000084,Loyal,Email,REP026,2017-10-18 14:27:26,2018-07-30 17:08:57
CUST000085,Inactive,Social,REP019,2017-06-01 20:21:59,2017-06-01 20:21:59
CUST000086,VIP,Social,REP025,2017-01-20 10:11:46,2018-04-10 12:20:30
CUST000087,Inactive,Social,REP005,2018-02-08 17:11:47,2018-02-08 17:11:47
CUST000088,Inactive,Referral,REP006,2017-07-21 13:04:41,2017-07-21 13:04:41
CUST000089,Inactive,Email,REP022,2017-05-15 00:00:00,2017-05-15 00:00:00
CUST000090,Loyal,Organic,REP019,2017-04-18 06:43:43,2018-07-12 17:18:30
CUST000091,Loyal,Email,REP025,2017-04-20 15:28:44,2018-08-06 22:05:18
CUST000092,Loyal,Email,REP027,2017-02-12 02:01:23,2018-04-07 09:29:01
CUST000093,Loyal,Organic,REP015,2017-01-11 12:05:38,2018-03-10 18:48:46
CUST000094,Loyal,Marketplace,REP012,2017-03-04 15:03:37,2018-07-19 09:59:09
CUST000095,Regular,Marketplace,REP010,2017-07-04 18:28:58,2017-11-18 23:29:31
CUST000096,Loyal,Email,REP015,2017-01-15 20:11:13,2018-08-08 05:43:33
CUST000097,Loyal,Social,REP024,2017-01-26 03:12:29,2018-08-19 07:25:10
CUST000098,Regular,Email,REP012,2017-02-16 00:51:02,2017-06-23 15:54:30
CUST000099,New,Organic,REP017,2018-07-30 17:40:35,2018-07-30 17:40:35
CUST000100,Loyal,Organic,REP006,2017-07-09 10:12:47,2018-09-23 10:58:57
CUST000101,Inactive,Paid Search,REP016,2017-11-14 00:00:00,2017-11-14 00:00:00
CUST000102,Regular,Paid Search,REP025,2017-12-22 18:40:34,2018-04-12 11:26:52
CUST000103,Loyal,Email,REP023,2017-02-10 01:33:39,2018-08-05 19:17:10
CUST000104,VIP,Paid Search,REP012,2017-08-04 12:52:08,2018-07-26 05:17:44
CUST000105,Regular,Referral,REP004,2017-02-19 09:06:36,2017-02-25 00:55:15
CUST000106,Regular,Paid Search,REP022,2017-06-14 03:55:17,2017-10-05 06:41:50
CUST000107,Loyal,Organic,REP003,2017-12-24 16:35:20,2018-04-07 10:30:30
CUST000108,Loyal,Referral,REP015,2017-01-28 09:54:21,2018-09-08 23:22:13
CUST000109,Regular,Email,REP016,2017-03-19 18:51:13,2018-09-15 11:21:06
CUST000110,Inactive,Social,REP003,2018-03-20 10:14:29,2018-03-20 10:14:29
CUST000111,Loyal,Referral,REP018,2017-01-27 15:25:13,2018-05-24 09:56:17
CUST000112,Regular,Paid Search,REP018,2017-12-17 09:41:11,2018-08-22 23:37:09
CUST000113,VIP,Email,REP002,2017-05-30 12:27:14,2018-09-16 02:28:48
CUST000114,Loyal,Email,REP007,2018-01-04 08:14:16,2018-06-10 14:04:47
CUST000115,Loyal,Email,REP015,2017-01-08 08:05:22,2018-08-09 01:36:28
CUST000116,Inactive,Organic,REP002,2017-10-19 13:35:58,2017-10-19 13:35:58
CUST000117,Inactive,Email,REP021,2017-12-08 19:49:35,2017-12-08 19:49:35
CUST000118,Inactive,Social,REP019,2017-01-27 00:00:00,2017-01-27 00:00:00
CUST000119,Loyal,Referral,REP021,2017-03-04 09:24:18,2017-07-28 18:02:49
CUST000120,Loyal,Social,REP010,2017-10-02 10:10:34,2018-05-26 21:24:21
CUST000121,Loyal,Email,REP026,2017-05-24 05:13:14,2018-09-08 19:04:49
CUST000122,Regular,Marketplace,REP022,2017-10-27 21:48:58,2018-06-19 18:29:06
CUST000123,Regular,Email,REP004,2017-08-22 08:57:16,2017-10-20 19:08:40
CUST000124,Loyal,Social,REP009,2017-08-18 06:45:00,2018-09-13 18:32:43
CUST000125,New,Email,REP007,2018-04-21 09:10:02,2018-04-21 09:10:02
CUST000126,Regular,Organic,REP017,2017-01-29 08:17:11,2017-03-03 09:48:33
CUST000127,New,Organic,REP009,2018-06-15 01:12:14,2018-06-15 01:12:14
CUST000128,Loyal,Email,REP003,2017-02-06 11:28:08,2018-08-25 01:00:05
CUST000129,Regular,Marketplace,REP007,2017-04-07 15:34:51,2017-11-04 22:26:54
CUST000130,Loyal,Email,REP028,2017-02-25 22:36:27,2018-05-29 22:22:51
CUST000131,Loyal,Paid Search,REP006,2017-01-20 00:07:42,2018-04-13 08:08:48
CUST000132,Regular,Social,REP023,2017-05-26 09:57:41,2017-06-21 11:56:29
CUST000133,Regular,Organic,REP003,2017-09-08 20:40:04,2017-10-06 20:58:21
CUST000134,Inactive,Social,REP002,2017-11-15 09:55:02,2017-11-15 09:55:02
CUST000135,Loyal,Email,REP015,2017-04-12 04:54:11,2018-09-29 22:03:36
CUST000136,Regular,Email,REP018,2017-05-28 18:58:04,2017-11-02 15:36:02
CUST000137,Loyal,Marketplace,REP014,2017-10-17 11:55:01,2018-05-26 05:21:24
CUST000138,Regular,Referral,REP019,2017-02-06 07:54:14,2017-11-23 09:30:19
CUST000139,Loyal,Paid Search,REP003,2017-01-16 03:20:14,2018-01-01 10:16:55
CUST000140,Loyal,Organic,REP009,2017-09-21 22:42:50,2018-03-03 15:11:04
CUST000141,Inactive,Social,REP006,2017-05-31 00:00:00,2017-05-31 00:00:00
CUST000142,New,Email,REP018,2018-09-18 00:32:07,2018-09-18 00:32:07
CUST000143,Inactive,Social,REP021,2017-12-10 23:18:21,2017-12-10 23:18:21
CUST000144,Inactive,Marketplace,REP024,2017-10-16 06:39:26,2017-10-16 06:39:26
CUST000145,Regular,Marketplace,REP022,2017-04-29 11:55:59,2017-11-18 06:59:06
CUST000146,Loyal,Marketplace,REP015,2017-08-10 08:48:48,2018-08-13 12:48:01
CUST000147,New,Paid Search,REP026,2018-07-27 15:41:13,2018-07-27 15:41:13
CUST000148,Loyal,Marketplace,REP020,2017-03-23 11:37:23,2018-06-09 23:58:38
CUST000149,New,Referral,REP001,2018-08-29 00:00:00,2018-08-29 00:00:00
CUST000150,Regular,Email,REP012,2017-01-01 11:03:38,2018-07-13 20:44:24
CUST000151,Loyal,Paid Search,REP004,2017-01-08 02:12:06,2017-12-05 01:06:25
CUST000152,Loyal,Paid Search,REP011,2017-06-24 23:51:29,2018-08-16 10:54:52
CUST000153,VIP,Email,REP019,2017-01-09 12:30:32,2018-09-18 13:19:59
CUST000154,Loyal,Organic,REP015,2017-04-27 19:28:59,2018-09-19 15:27:19
CUST000155,Loyal,Email,REP010,2017-04-26 10:55:48,2018-09-10 14:57:03
CUST000156,Inactive,Social,REP023,2017-01-04 15:30:43,2017-01-04 15:30:43
CUST000157,Regular,Social,REP018,2017-02-20 00:40:39,2018-09-05 00:13:09
