interaction_id,customer_id,interaction_date,interaction_type,sales_rep_id,outcome
INT0000001,CUST007186,2017-09-23 06:27:49,support,REP027,
INT0000002,CUST006663,2017-06-21 08:15:43,email,REP027,
INT0000003,CUST005995,2018-09-04 00:00:00,complaint,REP027,
INT0000004,CUST001807,2018-04-06 09:11:23,complaint,REP015,
INT0000005,CUST001830,2018-06-04 01:14:57,meeting,REP004,
INT0000006,CUST002717,2018-02-13 21:13:17,meeting,REP001,
INT0000007,CUST000449,2017-12-11 09:13:32,complaint,REP022,
INT0000008,CUST009729,2018-09-24 20:37:24,complaint,REP008,
INT0000009,CUST004247,2018-09-16 14:54:36,support,REP030,
INT0000010,CUST007180,2017-02-12 04:35:45,call,REP021,
INT0000011,CUST005086,2018-02-18 11:02:43,follow_up,REP027,
INT0000012,CUST008144,2017-08-26 21:27:35,follow_up,REP001,
INT0000013,CUST001449,2017-03-27 00:20:25,call,REP018,
INT0000014,CUST003398,2017-06-20 14:19:17,meeting,REP024,
INT0000015,CUST004543,2017-10-15 10:47:42,meeting,REP015,
INT0000016,CUST007629,2017-05-15 20:14:15,follow_up,REP023,
INT0000017,CUST003680,2017-03-24 05:01:01,support,REP025,
INT0000018,CUST004321,2017-09-27 14:54:15,follow_up,REP020,
INT0000019,CUST000566,2017-07-12 23:49:06,meeting,REP008,
INT0000020,CUST008677,2018-03-24 13:55:44,complaint,REP010,
INT0000021,CUST009544,2018-04-06 11:13:01,complaint,REP017,
INT0000022,CUST000541,2017-10-05 00:45:47,email,REP008,
INT0000023,CUST005822,2017-02-05 01:21:27,call,REP015,
INT0000024,CUST001386,2017-04-04 07:18:17,complaint,REP018,
INT0000025,CUST005262,2017-11-05 03:49:25,follow_up,REP005,
INT0000026,CUST004176,2018-06-08 18:18:56,email,REP017,
INT0000027,CUST001114,2017-07-14 15:02:54,follow_up,REP022,
INT0000028,CUST000619,2017-10-29 00:20:26,complaint,REP004,
INT0000029,CUST009893,2017-07-07 21:47:19,email,REP010,
INT0000030,CUST004590,2018-09-28 20:05:03,complaint,REP013,
INT0000031,CUST008623,2018-09-16 14:14:05,follow_up,REP008,
INT0000032,CUST003419,2017-06-08 14:58:20,support,REP014,
INT0000033,CUST002863,2018-05-09 09:49:20,meeting,REP007,
INT0000034,CUST004321,2017-10-12 14:54:15,follow_up,REP023,
INT0000035,CUST002299,2017-12-12 09:43:03,complaint,REP022,
INT0000036,CUST005245,2017-06-20 00:00:00,meeting,REP015,
INT0000037,CUST002057,2017-07-18 00:25:13,follow_up,REP029,
INT0000038,CUST006472,2017-01-29 14:27:16,meeting,REP019,
INT0000039,CUST008545,2017-07-14 16:07:55,support,REP023,
INT0000040,CUST003030,2017-08-04 00:00:00,meeting,REP008,
INT0000041,CUST009600,2017-07-17 07:29:38,meeting,REP011,
INT0000042,CUST009266,2017-07-25 16:49:42,call,REP015,
INT0000043,CUST001557,2017-05-14 02:16:33,meeting,REP019,
INT0000044,CUST009728,2017-03-22 05:09:53,complaint,REP025,
INT0000045,CUST007982,2017-08-08 11:37:50,follow_up,REP004,
INT0000046,CUST007550,2018-01-25 04:42:59,support,REP011,
INT0000047,CUST007070,2017-04-07 23:04:20,follow_up,REP009,
INT0000048,CUST004337,2018-04-08 01:10:37,complaint,REP009,
INT0000049,CUST008302,2018-05-13 02:39:19,email,REP013,
INT0000050,CUST001885,2017-11-27 03:43:16,follow_up,REP002,
INT0000051,CUST003508,2017-04-24 10:41:24,complaint,REP019,resolved
INT0000052,CUST007287,2018-05-17 13:03:58,email,REP012,interested
INT0000053,CUST003086,2017-03-10 08:19:52,complaint,REP011,converted
INT0000054,CUST000274,2017-06-01 11:28:28,support,REP007,resolved
INT0000055,CUST007102,2017-06-10 20:14:24,meeting,REP019,resolved
INT0000056,CUST007685,2018-03-10 14:04:39,follow_up,REP023,follow_up
INT0000057,CUST006857,2018-02-21 14:43:24,call,REP009,follow_up
INT0000058,CUST003958,2017-10-25 19:49:24,follow_up,REP012,interested
INT0000059,CUST007709,2018-11-14 06:28:57,follow_up,REP023,converted
INT0000060,CUST009265,2017-06-23 01:08:05,email,REP004,interested
INT0000061,CUST005192,2017-11-06 23:49:27,follow_up,REP009,interested
INT0000062,CUST002644,2018-06-16 16:38:08,email,REP024,resolved
INT0000063,CUST009420,2018-07-10 01:52:01,follow_up,REP006,resolved
INT0000064,CUST007869,2018-05-06 20:55:58,complaint,REP005,no_response
INT0000065,CUST004316,2017-01-22 11:19:46,call,REP018,interested
INT0000066,CUST004081,2016-12-18 14:06:04,complaint,REP029,interested
INT0000067,CUST009557,2017-03-13 13:00:18,follow_up,REP011,no_response
INT0000068,CUST001218,2017-07-17 00:13:56,email,REP009,no_response
INT0000069,CUST007506,2017-07-26 20:52:41,follow_up,REP020,follow_up
INT0000070,CUST005464,2018-08-18 09:29:59,follow_up,REP021,interested
