lead_id,customer_id,lead_date,lead_source,is_qualified,is_converted
LEAD000001,CUST000102,2017-05-10,Email,1,1
LEAD000002,CUST009088,2017-02-13,Social,0,0
LEAD000003,CUST001722,2017-07-26,Social,0,0
LEAD000004,CUST009291,2017-06-22,Marketplace,1,0
LEAD000005,CUST005988,2018-01-14,Marketplace,0,0
LEAD000006,CUST000926,2017-12-18,Referral,0,0
LEAD000007,CUST006890,2018-08-09,Paid Search,0,0
LEAD000008,CUST004217,2018-01-03,Social,1,1
LEAD000009,CUST008781,2017-06-11,Paid Search,1,0
LEAD000010,CUST000643,2018-04-29,Social,1,1
LEAD000011,CUST004682,2017-03-08,Paid Search,1,0
LEAD000012,CUST008383,2018-01-06,Marketplace,0,0
LEAD000013,CUST002497,2017-07-05,Email,1,0
LEAD000014,CUST000671,2018-05-20,Organic,0,0
LEAD000015,CUST006551,2017-08-14,Organic,1,0
LEAD000016,CUST002642,2017-12-22,Email,1,1
LEAD000017,CUST006282,2017-11-19,Email,0,0
LEAD000018,CUST009177,2017-08-19,Social,0,0
LEAD000019,CUST006416,2017-05-01,Organic,0,0
LEAD000020,CUST006494,2017-12-16,Social,1,1
LEAD000021,CUST000338,2017-05-02,Social,1,0
LEAD000022,CUST000354,2017-03-11,Referral,0,0
LEAD000023,CUST006393,2018-03-08,Referral,1,0
LEAD000024,CUST001786,2017-11-28,Referral,0,0
LEAD000025,CUST005803,2018-07-10,Organic,1,0
LEAD000026,CUST003839,2017-11-06,Paid Search,0,0
LEAD000027,CUST003376,2017-01-05,Marketplace,0,0
LEAD000028,CUST008525,2017-08-01,Email,0,0
LEAD000029,CUST009940,2017-05-19,Organic,0,0
LEAD000030,CUST004058,2018-02-03,Social,0,0
LEAD000031,CUST003633,2017-11-05,Referral,1,0
LEAD000032,CUST001177,2018-06-03,Marketplace,1,0
LEAD000033,CUST000423,2017-06-08,Organic,0,0
LEAD000034,CUST008718,2018-06-29,Marketplace,0,0
LEAD000035,CUST007080,2018-08-28,Marketplace,0,0
LEAD000036,CUST006062,2017-08-08,Referral,0,0
LEAD000037,CUST001954,2018-03-16,Paid Search,0,0
LEAD000038,CUST003095,2018-09-06,Paid Search,1,0
LEAD000039,CUST004248,2017-06-24,Marketplace,0,0
LEAD000040,CUST003810,2018-06-06,Organic,0,0
LEAD000041,CUST009668,2017-01-30,Referral,0,0
LEAD000042,CUST009107,2017-12-08,Referral,1,0
