date,campaign_id,channel,impressions,clicks,leads,conversions,spend
2018-04-22,CAMP0003,Facebook,100260,12945,470,162,1358.32
2017-06-06,CAMP0008,Instagram,79217,11658,742,163,1731.3
2017-10-12,CAMP0012,Organic,32546,3301,332,42,1888.37
2018-03-12,CAMP0021,Referral,40917,3383,349,64,1419.23
2018-01-05,CAMP0013,Affiliate,108476,1213,116,38,636.63
2018-03-19,CAMP0018,Instagram,47655,6600,1034,148,1531.56
2017-06-03,CAMP0030,Affiliate,6813,678,108,8,359.52
2018-05-23,CAMP0017,Email,102227,1547,231,78,190.71
2018-01-12,CAMP0013,Affiliate,112432,6736,538,187,1104.92
2018-03-12,CAMP0021,Referral,83948,9557,298,40,876.86
2017-11-14,CAMP0022,Referral,45090,4875,725,247,334.41
2017-10-16,CAMP0006,Organic,51446,7546,1114,186,1479.61
2017-06-07,CAMP0030,Affiliate,111844,10912,1523,407,1815.17
2018-05-12,CAMP0017,Email,64335,4876,248,38,716.87
2017-01-07,CAMP0007,Email,39694,1660,97,17,840.11
2017-08-07,CAMP0028,Facebook,22290,1684,195,39,493.72
2018-01-04,CAMP0013,Affiliate,95260,9902,1161,90,974.18
2018-03-19,CAMP0018,Instagram,38994,5203,319,34,1884.73
2017-05-21,CAMP0030,Affiliate,66122,1572,98,25,1668.29
2018-03-02,CAMP0021,Referral,35013,1443,180,34,1774.87
2018-03-25,CAMP0005,Affiliate,80366,10005,1045,289,1025.91
2018-04-20,CAMP0025,Referral,104014,8497,471,159,588.21
2017-01-22,CAMP0007,Email,6183,104,7,1,1171.88
2018-05-02,CAMP0025,Referral,5205,323,15,1,1121.85
2018-04-02,CAMP0018,Instagram,100741,1707,90,30,449.68
2018-03-19,CAMP0005,Affiliate,58858,5282,433,118,535.74
2017-04-07,CAMP0019,Google Search,89622,2023,63,16,95.99
2018-05-12,CAMP0017,Email,70962,8212,1334,431,90.88
2018-04-13,CAMP0014,Organic,38566,4184,418,22,1488.22
2017-10-18,CAMP0006,Organic,28222,1472,83,9,1848.75
2017-06-06,CAMP0030,Affiliate,103882,5289,217,57,736.88
2018-04-27,CAMP0025,Referral,63656,1606,50,12,83.16
2018-03-04,CAMP0021,Referral,100856,3256,229,16,1879.38
2017-08-01,CAMP0016,Email,115092,11828,1289,299,1207.15
2017-12-20,CAMP0026,Affiliate,55703,4019,126,31,1105.7
2017-05-29,CAMP0015,Instagram,10675,549,83,14,913.14
2017-06-01,CAMP0015,Instagram,81816,7966,1033,55,1092.74
2017-12-17,CAMP0026,Affiliate,59792,5339,640,174,957.44
2017-08-14,CAMP0027,Affiliate,84221,4646,454,37,1880.67
2017-06-13,CAMP0008,Instagram,45798,2019,91,12,1801.31
2017-08-16,CAMP0023,Facebook,96479,13892,1381,77,1001.98
2017-12-19,CAMP0026,Affiliate,51598,5177,356,84,456.52
2018-03-26,CAMP0020,Google Search,15816,204,13,0,1207.78
2017-05-09,CAMP0029,Organic,107393,5536,522,105,257.88
2018-03-05,CAMP0020,Google Search,84508,11726,1936,106,1295.6
2017-09-21,CAMP0012,Organic,15829,763,78,15,1691.05
2018-04-05,CAMP0020,Google Search,85944,3704,366,125,869.2
2018-02-28,CAMP0021,Referral,59239,3941,302,84,822.57
2017-06-16,CAMP0008,Instagram,42888,5549,623,32,1873.63
2017-01-12,CAMP0009,Google Search,17045,1967,181,48,433.93
2018-05-01,CAMP0017,Email,85803,10793,1614,553,1980.16
2018-04-09,CAMP0003,Facebook,19058,2698,260,40,1031.65
2017-11-26,CAMP0022,Referral,86593,4603,483,154,108.29
2018-02-18,CAMP0004,Instagram,54772,6685,205,56,1184.54
2017-08-19,CAMP0028,Facebook,50630,6038,1009,292,1655.73
2018-03-19,CAMP0020,Google Search,67905,1098,78,14,1259.37
2017-04-17,CAMP0019,Google Search,91530,1890,88,18,271.15
2018-04-03,CAMP0020,Google Search,27763,1622,199,45,831.59
2018-04-02,CAMP0020,Google Search,94899,14123,1832,148,864.55
2017-05-28,CAMP0015,Instagram,60701,7439,880,170,1638.79
2017-06-03,CAMP0030,Affiliate,107459,4815,351,56,573.31
2018-04-21,CAMP0005,Affiliate,84406,5642,857,97,340.3
2017-06-08,CAMP0008,Instagram,78688,8560,1133,285,1989.88
2017-03-25,CAMP0002,Facebook,112640,5560,209,41,380.7
2018-01-03,CAMP0026,Affiliate,36742,2015,78,5,1342.45
2018-04-12,CAMP0014,Organic,41478,4799,164,20,1740.84
2017-01-31,CAMP0009,Google Search,104927,12862,616,66,368.29
2017-12-10,CAMP0022,Referral,94152,9616,541,186,1499.15
2017-04-02,CAMP0002,Facebook,76285,997,119,19,1358.15
2018-02-23,CAMP0024,Organic,66990,8161,1247,392,1332.84
2017-08-27,CAMP0023,Facebook,50396,2945,144,35,1558.65
2017-07-29,CAMP0027,Affiliate,91002,8447,1315,101,1771.7
2018-03-04,CAMP0020,Google Search,108972,3468,481,81,212.89
2017-08-02,CAMP0028,Facebook,93151,12001,695,219,825.46
2017-08-27,CAMP0010,Affiliate,50625,5500,328,16,1297.34
2017-08-18,CAMP0016,Email,16373,1967,348,52,1067.26
2017-08-29,CAMP0023,Facebook,29577,450,60,11,242.35
2018-03-25,CAMP0018,Instagram,77905,6678,469,46,1591.58
2017-05-04,CAMP0019,Google Search,40697,5907,481,63,1096.34
2018-02-21,CAMP0004,Instagram,48113,5051,225,16,1433.1
2017-12-18,CAMP0026,Affiliate,89128,9759,1044,209,364.78
2017-05-21,CAMP0015,Instagram,47268,1582,123,29,1294.12
2018-04-19,CAMP0014,Organic,64262,2256,316,48,213.6
2017-11-02,CAMP0006,Organic,66775,6928,1184,79,1349.93
2018-03-10,CAMP0020,Google Search,42010,5378,172,43,1430.55
2017-08-12,CAMP0028,Facebook,74045,3615,593,36,737.93
2017-04-28,CAMP0029,Organic,20353,662,86,14,1447.56
2017-08-17,CAMP0023,Facebook,65866,8191,1425,130,1509.71
2017-09-10,CAMP0023,Facebook,61298,2683,320,45,1766.28
2017-05-31,CAMP0015,Instagram,68258,8005,1397,84,1089.39
2017-11-14,CAMP0011,Referral,55491,1796,114,27,1674.78
2017-06-07,CAMP0015,Instagram,5890,446,67,16,749.28
2017-05-30,CAMP0030,Affiliate,99143,8745,1057,248,1325.41
2017-01-29,CAMP0007,Email,82100,9581,538,116,205.13
2017-08-15,CAMP0023,Facebook,74240,9609,622,83,395.99
2018-03-14,CAMP0018,Instagram,65297,9425,1553,371,1626.1
2018-04-09,CAMP0014,Organic,17877,365,38,5,1274.69
2017-10-20,CAMP0006,Organic,54647,1504,213,49,1179.09
2018-04-25,CAMP0025,Referral,33067,1535,96,22,280.74
2017-10-19,CAMP0006,Organic,14446,874,65,11,500.62
2017-02-07,CAMP0009,Google Search,91768,9916,1712,263,1318.59
2017-09-12,CAMP0010,Affiliate,44274,1061,141,45,390.44
2017-06-17,CAMP0008,Instagram,91650,7221,977,273,1360.15
2017-08-16,CAMP0027,Affiliate,53640,1600,244,81,208.52
2017-08-01,CAMP0027,Affiliate,31436,3668,533,139,448.73
2017-08-12,CAMP0016,Email,57171,7364,542,134,1465.05
2017-06-08,CAMP0015,Instagram,36574,3945,536,71,410.54
2017-08-09,CAMP0028,Facebook,80818,11325,351,59,626.6
2017-12-14,CAMP0026,Affiliate,51640,1635,108,35,1067.58
2017-12-31,CAMP0026,Affiliate,14466,1730,79,17,1882.13
2017-06-19,CAMP0008,Instagram,42157,1299,179,22,1635.75
2017-10-30,CAMP0006,Organic,28919,3229,519,170,1306.86
2018-05-16,CAMP0025,Referral,94687,9672,1688,395,1358.07
2017-08-23,CAMP0028,Facebook,117529,14944,1692,383,121.23
2018-02-25,CAMP0024,Organic,108826,7971,1153,220,894.5
2018-03-29,CAMP0018,Instagram,7300,705,57,8,854.29
2017-08-22,CAMP0028,Facebook,108530,10983,1047,345,137.56
2018-04-01,CAMP0005,Affiliate,117249,8746,1055,325,1793.82
2018-02-20,CAMP0024,Organic,119152,14679,1535,131,242.36
2018-04-20,CAMP0014,Organic,101156,2099,331,86,1576.85
2018-03-02,CAMP0021,Referral,86143,1265,57,6,877.45
2017-02-05,CAMP0009,Google Search,81017,2434,73,13,270.12
2017-09-22,CAMP0012,Organic,37718,3624,462,85,151.73
