cost_id,cost_date,state,cost_type,cost_amount
COST000001,2017-10-12,SP,warehouse,6443.49
COST000002,2017-12-30,PR,payroll,1555.76
COST000003,2018-03-01,SC,technology,3450.24
COST000004,2017-04-28,PR,marketing,469.08
COST000005,2017-04-21,BA,warehouse,1780.45
COST000006,2017-02-28,RJ,logistics,5589.36
COST000007,2017-07-24,RS,technology,6455.85
COST000008,2018-08-04,SC,marketing,1119.07
COST000009,2017-07-13,BA,marketing,2489.93
COST000010,2017-11-01,RJ,marketing,4016.91
COST000011,2018-08-24,RJ,warehouse,6855.85
COST000012,2018-06-29,RJ,warehouse,842.67
COST000013,2017-05-25,RJ,warehouse,4543.9
COST000014,2017-06-30,MG,logistics,7394.07
COST000015,2018-01-21,BA,logistics,1491.0
COST000016,2018-01-22,RS,logistics,5501.89
COST000017,2018-07-10,MG,technology,4463.87
COST000018,2017-12-06,RJ,technology,3969.2
COST000019,2017-02-10,RS,customer_support,9345.39
COST000020,2017-07-05,BA,payroll,4016.04
COST000021,2018-02-15,PR,customer_support,4523.14
COST000022,2018-06-02,MG,payroll,716.44
COST000023,2017-02-27,PR,marketing,3714.49
COST000024,2018-09-05,DF,marketing,5284.45
COST000025,2018-09-03,RS,warehouse,193.59
COST000026,2017-03-06,BA,marketing,591.21
COST000027,2018-04-02,SC,marketing,2466.35
COST000028,2017-01-21,RJ,technology,7448.96
COST000029,2018-04-03,RS,logistics,7855.09
COST000030,2017-09-06,BA,marketing,8035.54
COST000031,2017-02-19,BA,payroll,5775.06
COST000032,2017-10-15,RJ,payroll,8371.88
COST000033,2017-03-14,PR,marketing,1457.1
COST000034,2018-09-14,RS,warehouse,9244.55
COST000035,2017-07-09,BA,payroll,8082.12
COST000036,2017-09-30,DF,marketing,6035.61
COST000037,2018-08-04,RS,payroll,5851.46
COST000038,2017-09-13,BA,marketing,1204.63
COST000039,2018-02-02,RS,technology,8029.96
COST000040,2017-09-02,MG,payroll,5032.64
COST000041,2017-10-30,SP,marketing,8232.76
COST000042,2017-08-01,SC,technology,3224.32
COST000043,2017-05-10,MG,marketing,604.44
COST000044,2018-02-17,PR,marketing,5105.03
COST000045,2017-02-13,RJ,warehouse,8825.33
COST000046,2018-07-24,PR,marketing,979.04
COST000047,2018-04-14,RS,payroll,4175.04
COST000048,2018-01-07,SP,logistics,8357.43
COST000049,2018-05-07,RS,marketing,2362.99
COST000050,2017-06-28,MG,payroll,2696.84
COST000051,2017-02-03,RJ,marketing,6251.51
COST000052,2017-11-20,SC,logistics,8659.83
COST000053,2017-04-08,DF,logistics,5812.63
COST000054,2017-07-25,PR,marketing,1108.68
COST000055,2017-07-13,MG,payroll,9300.85
COST000056,2017-07-26,SP,technology,5399.76
COST000057,2017-09-11,MG,warehouse,3492.53
COST000058,2018-09-14,MG,marketing,7559.91
COST000059,2018-04-15,BA,payroll,6942.9
COST000060,2017-11-10,SP,logistics,3133.16
COST000061,2017-06-10,PR,payroll,8568.97
COST000062,2018-09-22,BA,marketing,932.8
COST000063,2017-09-19,RJ,payroll,8803.23
COST000064,2017-10-21,MG,payroll,1098.28
COST000065,2018-04-10,DF,marketing,457.27
COST000066,2018-03-04,DF,marketing,8661.69
COST000067,2017-10-31,RS,technology,752.48
COST000068,2018-07-13,PR,marketing,9915.78
