date,state,product_category_name,budget_amount
2017-01-01,SP,health_beauty,17629.61
2017-01-01,SP,bed_bath_table,83317.04
2017-01-01,SP,sports_leisure,27966.22
2017-01-01,SP,computers_accessories,31907.66
2017-01-01,SP,furniture_decor,88520.31
2017-01-01,SP,housewares,70534.46
2017-01-01,SP,watches_gifts,44316.9
2017-01-01,SP,auto,95442.74
2017-01-01,RJ,health_beauty,57088.72
2017-01-01,RJ,bed_bath_table,95107.51
2017-01-01,RJ,sports_leisure,67709.96
2017-01-01,RJ,computers_accessories,95113.69
2017-01-01,RJ,furniture_decor,30598.25
2017-01-01,RJ,housewares,59948.56
2017-01-01,RJ,watches_gifts,19000.31
2017-01-01,RJ,auto,15237.93
2017-01-01,MG,health_beauty,40311.98
2017-01-01,MG,bed_bath_table,57246.69
2017-01-01,MG,sports_leisure,96668.15
2017-01-01,MG,computers_accessories,46547.7
2017-01-01,MG,furniture_decor,48931.84
2017-01-01,MG,housewares,19974.42
2017-01-01,MG,watches_gifts,58743.06
2017-01-01,MG,auto,66412.54
2017-01-01,RS,health_beauty,32627.25
2017-01-01,RS,bed_bath_table,83188.82
2017-01-01,RS,sports_leisure,60839.82
2017-01-01,RS,computers_accessories,61475.33
2017-01-01,RS,furniture_decor,41432.67
2017-01-01,RS,housewares,61624.29
2017-01-01,RS,watches_gifts,31803.66
2017-01-01,RS,auto,25677.89
2017-01-01,PR,health_beauty,32002.03
2017-01-01,PR,bed_bath_table,66907.81
2017-01-01,PR,sports_leisure,89644.59
2017-01-01,PR,computers_accessories,56653.67
2017-01-01,PR,furniture_decor,38413.09
2017-01-01,PR,housewares,76796.55
2017-01-01,PR,watches_gifts,73767.9
2017-01-01,PR,auto,50892.52
2017-01-01,SC,health_beauty,78931.22
2017-01-01,SC,bed_bath_table,12118.54
2017-01-01,SC,sports_leisure,77113.68
2017-01-01,SC,computers_accessories,76894.07
2017-01-01,SC,furniture_decor,91853.63
2017-01-01,SC,housewares,86699.93
2017-01-01,SC,watches_gifts,43070.24
2017-01-01,SC,auto,44865.38
2017-01-01,BA,health_beauty,85946.16
2017-01-01,BA,bed_bath_table,80634.38
2017-01-01,BA,sports_leisure,39062.66
2017-01-01,BA,computers_accessories,86030.76
2017-01-01,BA,furniture_decor,28294.82
2017-01-01,BA,housewares,69374.44
2017-01-01,BA,watches_gifts,54093.72
2017-01-01,BA,auto,76942.85
2017-01-01,DF,health_beauty,36837.75
2017-01-01,DF,bed_bath_table,41298.91
2017-01-01,DF,sports_leisure,36199.71
2017-01-01,DF,computers_accessories,42281.27
2017-01-01,DF,furniture_decor,13503.83
2017-01-01,DF,housewares,89714.99
2017-01-01,DF,watches_gifts,48117.15
2017-01-01,DF,auto,88587.36
2017-02-01,SP,health_beauty,76049.62
2017-02-01,SP,bed_bath_table,59291.56
2017-02-01,SP,sports_leisure,88820.42
2017-02-01,SP,computers_accessories,77570.59
2017-02-01,SP,furniture_decor,92325.6
2017-02-01,SP,housewares,86386.61
2017-02-01,SP,watches_gifts,10240.59
2017-02-01,SP,auto,10273.78
2017-02-01,RJ,health_beauty,52016.91
2017-02-01,RJ,bed_bath_table,93272.46
2017-02-01,RJ,sports_leisure,80999.67
2017-02-01,RJ,computers_accessories,66545.48
2017-02-01,RJ,furniture_decor,69415.4
2017-02-01,RJ,housewares,53083.66
2017-02-01,RJ,watches_gifts,72106.08
2017-02-01,RJ,auto,94700.15
2017-02-01,MG,health_beauty,95550.29
2017-02-01,MG,bed_bath_table,34897.83
2017-02-01,MG,sports_leisure,38194.27
2017-02-01,MG,computers_accessories,98693.67
2017-02-01,MG,furniture_decor,63139.97
2017-02-01,MG,housewares,61722.79
2017-02-01,MG,watches_gifts,29807.17
2017-02-01,MG,auto,71291.91
2017-02-01,RS,health_beauty,62991.09
2017-02-01,RS,bed_bath_table,67573.2
2017-02-01,RS,sports_leisure,99252.47
2017-02-01,RS,computers_accessories,69932.73
2017-02-01,RS,furniture_decor,74204.87
2017-02-01,RS,housewares,44818.77
2017-02-01,RS,watches_gifts,47705.03
2017-02-01,RS,auto,43216.27
2017-02-01,PR,health_beauty,17444.4
2017-02-01,PR,bed_bath_table,35470.13
2017-02-01,PR,sports_leisure,25771.63
2017-02-01,PR,computers_accessories,79226.22
2017-02-01,PR,furniture_decor,36751.71
2017-02-01,PR,housewares,64374.66
2017-02-01,PR,watches_gifts,13577.06
2017-02-01,PR,auto,13433.0
2017-02-01,SC,health_beauty,50890.15
2017-02-01,SC,bed_bath_table,11085.13
2017-02-01,SC,sports_leisure,26469.81
2017-02-01,SC,computers_accessories,20882.71
2017-02-01,SC,furniture_decor,11351.33
2017-02-01,SC,housewares,53354.01
2017-02-01,SC,watches_gifts,65489.33
2017-02-01,SC,auto,14766.07
2017-02-01,BA,health_beauty,77571.32
2017-02-01,BA,bed_bath_table,64035.51
2017-02-01,BA,sports_leisure,87717.77
2017-02-01,BA,computers_accessories,27355.78
2017-02-01,BA,furniture_decor,44320.96
2017-02-01,BA,housewares,17410.95
2017-02-01,BA,watches_gifts,47718.94
2017-02-01,BA,auto,66530.91
2017-02-01,DF,health_beauty,36434.25
2017-02-01,DF,bed_bath_table,51862.45
2017-02-01,DF,sports_leisure,60619.41
2017-02-01,DF,computers_accessories,45112.93
2017-02-01,DF,furniture_decor,24700.54
2017-02-01,DF,housewares,54788.25
2017-02-01,DF,watches_gifts,88125.14
2017-02-01,DF,auto,61643.2
2017-03-01,SP,health_beauty,35021.89
2017-03-01,SP,bed_bath_table,31852.45
2017-03-01,SP,sports_leisure,17620.46
2017-03-01,SP,computers_accessories,29393.99
2017-03-01,SP,furniture_decor,92522.03
2017-03-01,SP,housewares,47943.53
2017-03-01,SP,watches_gifts,25185.72
2017-03-01,SP,auto,52376.23
2017-03-01,RJ,health_beauty,24382.5
2017-03-01,RJ,bed_bath_table,92023.95
2017-03-01,RJ,sports_leisure,37120.24
2017-03-01,RJ,computers_accessories,62226.33
2017-03-01,RJ,furniture_decor,71419.02
2017-03-01,RJ,housewares,21508.01
2017-03-01,RJ,watches_gifts,79153.22
2017-03-01,RJ,auto,19191.3
2017-03-01,MG,health_beauty,85544.09
2017-03-01,MG,bed_bath_table,71549.23
2017-03-01,MG,sports_leisure,36588.46
2017-03-01,MG,computers_accessories,67990.46
2017-03-01,MG,furniture_decor,63679.28
2017-03-01,MG,housewares,20369.78
2017-03-01,MG,watches_gifts,42923.38
2017-03-01,MG,auto,84030.74
2017-03-01,RS,health_beauty,66160.91
2017-03-01,RS,bed_bath_table,37657.29
2017-03-01,RS,sports_leisure,96815.5
2017-03-01,RS,computers_accessories,16518.45
2017-03-01,RS,furniture_decor,87404.66
2017-03-01,RS,housewares,20478.67
2017-03-01,RS,watches_gifts,20628.37
2017-03-01,RS,auto,10781.67
2017-03-01,PR,health_beauty,43441.51
2017-03-01,PR,bed_bath_table,38609.72
2017-03-01,PR,sports_leisure,26060.93
2017-03-01,PR,computers_accessories,89602.58
2017-03-01,PR,furniture_decor,12142.67
2017-03-01,PR,housewares,23967.99
2017-03-01,PR,watches_gifts,28277.42
2017-03-01,PR,auto,85897.96
2017-03-01,SC,health_beauty,57138.22
2017-03-01,SC,bed_bath_table,68937.82
2017-03-01,SC,sports_leisure,80755.49
2017-03-01,SC,computers_accessories,85987.26
2017-03-01,SC,furniture_decor,24828.86
2017-03-01,SC,housewares,36284.23
2017-03-01,SC,watches_gifts,33857.88
2017-03-01,SC,auto,36991.62
2017-03-01,BA,health_beauty,59920.35
2017-03-01,BA,bed_bath_table,48729.89
2017-03-01,BA,sports_leisure,95422.51
2017-03-01,BA,computers_accessories,62090.13
2017-03-01,BA,furniture_decor,78530.31
2017-03-01,BA,housewares,16163.12
2017-03-01,BA,watches_gifts,84518.27
2017-03-01,BA,auto,95328.55
2017-03-01,DF,health_beauty,30850.98
2017-03-01,DF,bed_bath_table,17749.76
2017-03-01,DF,sports_leisure,73593.24
2017-03-01,DF,computers_accessories,66118.21
2017-03-01,DF,furniture_decor,95441.13
2017-03-01,DF,housewares,22508.74
2017-03-01,DF,watches_gifts,75669.69
2017-03-01,DF,auto,90410.59
2017-04-01,SP,health_beauty,48293.2
2017-04-01,SP,bed_bath_table,60086.33
2017-04-01,SP,sports_leisure,90215.88
2017-04-01,SP,computers_accessories,21967.67
2017-04-01,SP,furniture_decor,86366.99
2017-04-01,SP,housewares,38752.72
2017-04-01,SP,watches_gifts,22623.41
2017-04-01,SP,auto,52022.14
2017-04-01,RJ,health_beauty,90572.6
2017-04-01,RJ,bed_bath_table,46820.8
2017-04-01,RJ,sports_leisure,36037.29
2017-04-01,RJ,computers_accessories,24715.98
2017-04-01,RJ,furniture_decor,89905.33
2017-04-01,RJ,housewares,46426.87
2017-04-01,RJ,watches_gifts,82525.61
2017-04-01,RJ,auto,48724.1
2017-04-01,MG,health_beauty,64233.39
2017-04-01,MG,bed_bath_table,48914.78
2017-04-01,MG,sports_leisure,57196.15
2017-04-01,MG,computers_accessories,49606.23
2017-04-01,MG,furniture_decor,49309.03
2017-04-01,MG,housewares,31282.5
2017-04-01,MG,watches_gifts,14563.97
2017-04-01,MG,auto,28686.19
2017-04-01,RS,health_beauty,16504.71
2017-04-01,RS,bed_bath_table,19135.54
2017-04-01,RS,sports_leisure,37016.19
2017-04-01,RS,computers_accessories,13587.22
2017-04-01,RS,furniture_decor,55330.83
2017-04-01,RS,housewares,39290.53
2017-04-01,RS,watches_gifts,43241.67
2017-04-01,RS,auto,51158.29
2017-04-01,PR,health_beauty,65217.65
2017-04-01,PR,bed_bath_table,30877.58
2017-04-01,PR,sports_leisure,48592.72
2017-04-01,PR,computers_accessories,62850.62
2017-04-01,PR,furniture_decor,25390.45
2017-04-01,PR,housewares,78007.27
2017-04-01,PR,watches_gifts,29098.56
2017-04-01,PR,auto,89361.99
2017-04-01,SC,health_beauty,66255.04
2017-04-01,SC,bed_bath_table,17816.73
2017-04-01,SC,sports_leisure,92698.83
2017-04-01,SC,computers_accessories,40361.64
