snapshot_date,product_id,warehouse_id,stock_quantity,reserved_quantity,reorder_point
2017-01-01,PROD01016,WH005,457,18,72
2017-01-01,PROD01429,WH004,458,51,110
2017-01-01,PROD01357,WH007,228,39,62
2017-01-01,PROD00707,WH002,174,40,116
2017-01-01,PROD00315,WH006,149,25,111
2017-01-01,PROD00010,WH007,420,80,106
2017-01-01,PROD01847,WH008,74,65,20
2017-01-01,PROD00405,WH002,344,19,88
2017-01-01,PROD01520,WH007,46,24,104
2017-01-01,PROD00572,WH007,130,44,35
2017-01-01,PROD01023,WH010,158,77,30
2017-01-01,PROD01669,WH002,181,74,105
2017-01-01,PROD01303,WH007,420,9,24
2017-01-01,PROD01035,WH003,23,13,96
2017-01-01,PROD01268,WH010,27,22,85
2017-01-01,PROD00378,WH001,417,50,105
2017-01-01,PROD01569,WH009,384,66,113
2017-01-01,PROD00379,WH001,460,54,98
2017-01-01,PROD01884,WH004,340,39,51
2017-01-01,PROD00672,WH002,87,28,111
2017-01-01,PROD01242,WH006,163,7,78
2017-01-01,PROD00753,WH010,362,36,81
2017-01-01,PROD01692,WH009,498,51,31
2017-01-01,PROD00228,WH009,465,61,80
2017-01-01,PROD01926,WH009,467,57,77
2017-01-01,PROD01862,WH009,284,61,112
2017-01-01,PROD01300,WH007,174,5,27
2017-01-01,PROD01197,WH007,68,46,88
2017-01-01,PROD01173,WH005,237,68,66
2017-01-01,PROD01248,WH002,450,42,100
2017-01-01,PROD00538,WH005,217,24,87
2017-01-01,PROD01458,WH005,124,0,96
2017-01-01,PROD01610,WH003,169,61,38
2017-01-01,PROD01335,WH001,89,14,89
2017-01-01,PROD01105,WH010,38,38,80
2017-01-01,PROD00071,WH004,158,19,71
2017-01-01,PROD01152,WH001,153,38,28
2017-01-01,PROD00609,WH004,165,40,35
2017-01-01,PROD01282,WH008,364,12,67
2017-01-01,PROD01749,WH005,89,14,80
2017-01-01,PROD01482,WH010,336,31,88
2017-01-01,PROD01818,WH006,57,13,118
2017-01-01,PROD01188,WH005,355,12,86
2017-01-01,PROD01898,WH004,365,40,112
2017-01-01,PROD01215,WH002,58,29,47
2017-01-01,PROD00908,WH009,238,24,99
2017-01-01,PROD01915,WH005,493,5,96
2017-01-01,PROD00472,WH004,311,14,37
2017-01-01,PROD01070,WH001,204,48,73
2017-01-01,PROD00123,WH009,309,75,47
2017-01-01,PROD00933,WH003,39,38,21
