product_id,supplier_id,unit_cost
PROD00001,SUP0061,36.65
PROD00002,SUP0011,61.08
PROD00003,SUP0130,148.06
PROD00004,SUP0005,26.59
PROD00005,SUP0064,90.84
PROD00006,SUP0017,10.14
PROD00007,SUP0101,61.09
PROD00008,SUP0079,31.14
PROD00009,SUP0087,32.46
PROD00010,SUP0043,94.26
PROD00011,SUP0082,104.13
PROD00012,SUP0034,113.4
PROD00013,SUP0072,51.36
PROD00014,SUP0109,20.79
PROD00015,SUP0030,45.91
PROD00016,SUP0060,84.4
PROD00017,SUP0075,63.09
PROD00018,SUP0085,118.86
PROD00019,SUP0049,61.49
PROD00020,SUP0091,26.44
PROD00021,SUP0108,10.47
PROD00022,SUP0090,75.82
PROD00023,SUP0053,55.19
PROD00024,SUP0038,19.79
PROD00025,SUP0071,56.83
PROD00026,SUP0004,185.55
PROD00027,SUP0049,71.87
PROD00028,SUP0085,93.55
PROD00029,SUP0064,104.38
PROD00030,SUP0115,8.47
PROD00031,SUP0024,233.38
PROD00032,SUP0065,25.61
PROD00033,SUP0052,32.16
PROD00034,SUP0114,38.06
PROD00035,SUP0071,37.89
PROD00036,SUP0025,147.74
PROD00037,SUP0050,48.99
PROD00038,SUP0140,19.48
PROD00039,SUP0020,30.08
PROD00040,SUP0140,289.31
PROD00041,SUP0019,46.79
PROD00042,SUP0102,42.49
PROD00043,SUP0062,15.43
PROD00044,SUP0115,11.13
PROD00045,SUP0007,23.28
PROD00046,SUP0068,32.87
PROD00047,SUP0087,77.1
PROD00048,SUP0093,97.23
PROD00049,SUP0080,130.33
PROD00050,SUP0082,83.99
PROD00051,SUP0058,20.87
PROD00052,SUP0139,42.48
PROD00053,SUP0087,75.44
PROD00054,SUP0012,36.46
PROD00055,SUP0084,43.19
PROD00056,SUP0035,36.54
PROD00057,SUP0097,15.53
PROD00058,SUP0037,19.94
PROD00059,SUP0024,302.26
PROD00060,SUP0133,16.09
PROD00061,SUP0051,11.2
PROD00062,SUP0111,28.61
PROD00063,SUP0072,80.87
PROD00064,SUP0018,55.4
PROD00065,SUP0120,26.14
PROD00066,SUP0121,58.45
PROD00067,SUP0104,21.38
PROD00068,SUP0077,45.93
PROD00069,SUP0033,29.02
PROD00070,SUP0041,19.34
PROD00071,SUP0001,29.46
PROD00072,SUP0063,5.64
PROD00073,SUP0122,40.22
PROD00074,SUP0082,52.18
PROD00075,SUP0080,13.06
PROD00076,SUP0024,33.96
