supplier_id,supplier_name,state,lead_time_days,avg_unit_cost
SUP0001,Supplier 1,RS,13,330.91
SUP0002,Supplier 2,PR,11,82.12
SUP0003,Supplier 3,MG,18,116.91
SUP0004,Supplier 4,SP,10,281.43
SUP0005,Supplier 5,ES,23,122.61
SUP0006,Supplier 6,RJ,24,112.35
SUP0007,Supplier 7,SP,23,16.31
SUP0008,Supplier 8,DF,21,41.3
SUP0009,Supplier 9,RJ,11,357.16
SUP0010,Supplier 10,BA,19,12.09
SUP0011,Supplier 11,SP,6,448.41
SUP0012,Supplier 12,DF,20,43.94
SUP0013,Supplier 13,SP,16,82.5
SUP0014,Supplier 14,PR,18,173.47
SUP0015,Supplier 15,GO,3,364.69
SUP0016,Supplier 16,BA,13,351.85
SUP0017,Supplier 17,BA,9,127.05
SUP0018,Supplier 18,SP,8,166.86
SUP0019,Supplier 19,BA,24,411.51
SUP0020,Supplier 20,SP,14,250.91
SUP0021,Supplier 21,MG,11,231.81
SUP0022,Supplier 22,RJ,14,318.57
SUP0023,Supplier 23,RJ,19,231.14
SUP0024,Supplier 24,RJ,19,219.83
SUP0025,Supplier 25,DF,17,400.31
SUP0026,Supplier 26,MG,15,466.05
SUP0027,Supplier 27,RS,7,276.89
SUP0028,Supplier 28,RS,12,148.22
SUP0029,Supplier 29,SC,19,475.1
SUP0030,Supplier 30,RS,25,352.46
SUP0031,Supplier 31,SP,10,328.89
SUP0032,Supplier 32,SP,7,305.3
SUP0033,Supplier 33,SP,7,371.49
SUP0034,Supplier 34,RJ,6,388.93
SUP0035,Supplier 35,BA,11,396.64
SUP0036,Supplier 36,MG,24,488.02
SUP0037,Supplier 37,BA,7,208.54
SUP0038,Supplier 38,BA,14,125.1
SUP0039,Supplier 39,SP,10,200.08
SUP0040,Supplier 40,MG,7,384.57
SUP0041,Supplier 41,RS,17,272.65
SUP0042,Supplier 42,SP,18,433.02
SUP0043,Supplier 43,DF,5,121.89
SUP0044,Supplier 44,PR,24,369.83
SUP0045,Supplier 45,DF,13,128.43
SUP0046,Supplier 46,SC,20,400.56
SUP0047,Supplier 47,SC,7,221.92
SUP0048,Supplier 48,ES,5,494.76
SUP0049,Supplier 49,RS,22,336.02
SUP0050,Supplier 50,ES,16,372.16
SUP0051,Supplier 51,SC,9,26.15
SUP0052,Supplier 52,ES,23,353.02
SUP0053,Supplier 53,RJ,19,212.32
SUP0054,Supplier 54,RJ,15,164.95
SUP0055,Supplier 55,SP,16,398.62
SUP0056,Supplier 56,ES,16,118.18
SUP0057,Supplier 57,SC,4,95.0
SUP0058,Supplier 58,RS,18,180.88
SUP0059,Supplier 59,ES,10,316.53
SUP0060,Supplier 60,PR,13,132.37
SUP0061,Supplier 61,SC,12,281.51
SUP0062,Supplier 62,SP,13,195.5
SUP0063,Supplier 63,DF,7,201.37
SUP0064,Supplier 64,BA,16,105.54
SUP0065,Supplier 65,GO,20,164.44
SUP0066,Supplier 66,MG,17,140.55
SUP0067,Supplier 67,PR,6,125.5
SUP0068,Supplier 68,ES,6,44.99
SUP0069,Supplier 69,MG,22,219.37
SUP0070,Supplier 70,DF,10,126.12
SUP0071,Supplier 71,RS,3,480.7
SUP0072,Supplier 72,ES,17,302.84
SUP0073,Supplier 73,ES,23,233.7
SUP0074,Supplier 74,SC,25,172.3
SUP0075,Supplier 75,ES,11,233.08
SUP0076,Supplier 76,RS,11,174.03
SUP0077,Supplier 77,SP,17,429.14
SUP0078,Supplier 78,PR,21,131.64
SUP0079,Supplier 79,BA,14,143.58
SUP0080,Supplier 80,SC,15,356.26
SUP0081,Supplier 81,DF,18,450.96
SUP0082,Supplier 82,MG,22,341.66
SUP0083,Supplier 83,DF,22,46.94
SUP0084,Supplier 84,MG,21,450.0
SUP0085,Supplier 85,MG,19,385.82
SUP0086,Supplier 86,DF,24,123.66
SUP0087,Supplier 87,DF,17,35.99
SUP0088,Supplier 88,DF,24,360.15
SUP0089,Supplier 89,BA,12,121.12
SUP0090,Supplier 90,DF,4,264.29
SUP0091,Supplier 91,SC,16,49.33
SUP0092,Supplier 92,RJ,23,286.24
SUP0093,Supplier 93,GO,19,15.63
SUP0094,Supplier 94,BA,14,269.33
SUP0095,Supplier 95,BA,18,417.68
SUP0096,Supplier 96,SP,13,292.47
SUP0097,Supplier 97,BA,2,442.9
SUP0098,Supplier 98,SP,6,276.7
SUP0099,Supplier 99,BA,20,345.28
SUP0100,Supplier 100,SC,10,186.3
SUP0101,Supplier 101,SC,9,151.92
SUP0102,Supplier 102,RJ,21,171.23
SUP0103,Supplier 103,BA,25,55.88
SUP0104,Supplier 104,DF,22,130.92
SUP0105,Supplier 105,DF,14,196.58
SUP0106,Supplier 106,MG,11,174.07
SUP0107,Supplier 107,SC,25,250.32
SUP0108,Supplier 108,SC,13,246.69
SUP0109,Supplier 109,PR,19,369.02
SUP0110,Supplier 110,ES,9,200.89
SUP0111,Supplier 111,ES,24,340.23
SUP0112,Supplier 112,MG,7,445.86
SUP0113,Supplier 113,DF,9,230.61
SUP0114,Supplier 114,ES,24,278.95
SUP0115,Supplier 115,PR,22,340.2
SUP0116,Supplier 116,SC,22,249.58
SUP0117,Supplier 117,RS,12,85.78
SUP0118,Supplier 118,SC,14,150.32
SUP0119,Supplier 119,MG,8,18.95
SUP0120,Supplier 120,SC,17,343.38
SUP0121,Supplier 121,GO,14,143.39
SUP0122,Supplier 122,BA,25,412.69
SUP0123,Supplier 123,SP,21,329.68
SUP0124,Supplier 124,BA,4,369.38
SUP0125,Supplier 125,MG,19,441.82
SUP0126,Supplier 126,PR,23,215.72
SUP0127,Supplier 127,PR,24,98.36
SUP0128,Supplier 128,SC,19,468.08
SUP0129,Supplier 129,RJ,19,497.93
SUP0130,Supplier 130,ES,20,112.89
SUP0131,Supplier 131,BA,5,371.79
SUP0132,Supplier 132,RS,6,40.77
SUP0133,Supplier 133,PR,5,18.6
SUP0134,Supplier 134,PR,21,339.19
SUP0135,Supplier 135,GO,15,131.3
SUP0136,Supplier 136,SC,20,434.59
SUP0137,Supplier 137,RS,8,258.97
SUP0138,Supplier 138,SC,8,392.11
SUP0139,Supplier 139,RS,21,56.22
SUP0140,Supplier 140,PR,14,437.86
SUP0141,Supplier 141,RS,2,99.02
SUP0142,Supplier 142,ES,3,286.27
SUP0143,Supplier 143,SP,5,306.8
SUP0144,Supplier 144,PR,5,37.64
SUP0145,Supplier 145,PR,25,488.89
SUP0146,Supplier 146,SP,3,154.61
SUP0147,Supplier 147,RS,2,358.49
SUP0148,Supplier 148,RJ,23,317.67
SUP0149,Supplier 149,RJ,12,21.38
SUP0150,Supplier 150,RJ,2,431.87
