return_id,order_id,order_item_id,product_id,seller_id,customer_id,return_date,return_quantity,return_reason,refund_amount
RET000001,ORD0009366,2,PROD00145,SELL00269,CUST008850,2017-03-15 06:43:16,1,late_delivery,36.5
RET000002,ORD0006680,1,PROD00459,SELL00231,CUST002319,2018-04-24 03:19:56,1,wrong_item,60.64
RET000003,ORD0003496,1,PROD01759,SELL00366,CUST004457,2017-08-16 17:45:59,1,quality_issue,210.9
RET000004,ORD0008767,1,PROD00439,SELL00033,CUST002119,2017-02-19 23:43:10,1,late_delivery,59.94
RET000005,ORD0004158,2,PROD00071,SELL00006,CUST006603,2017-08-04 21:49:26,1,quality_issue,50.67
RET000006,ORD0000828,1,PROD01789,SELL00127,CUST000160,2018-09-19 12:49:16,1,damaged,27.62
RET000007,ORD0005214,1,PROD00596,SELL00222,CUST008000,2017-09-04 17:10:45,1,customer_changed_mind,55.67
RET000008,ORD0009191,1,PROD01878,SELL00065,CUST003385,2017-04-02 08:18:15,1,customer_changed_mind,15.96
RET000009,ORD0007880,1,PROD00946,SELL00044,CUST004553,2018-11-01 03:33:20,1,late_delivery,28.19
RET000010,ORD0000358,2,PROD01639,SELL00162,CUST009615,2017-02-09 17:32:52,1,customer_changed_mind,29.93
RET000011,ORD0007237,2,PROD00609,SELL00049,CUST002340,2017-07-07 09:23:03,1,late_delivery,96.83
RET000012,ORD0003183,1,PROD01040,SELL00141,CUST007920,2017-10-15 08:37:44,1,late_delivery,107.74
RET000013,ORD0007461,2,PROD00231,SELL00150,CUST002207,2017-07-23 13:26:47,1,damaged,126.26
RET000014,ORD0022409,1,PROD00014,SELL00376,CUST003468,2017-08-04 18:52:21,1,customer_changed_mind,29.6
RET000015,ORD0014304,1,PROD00138,SELL00381,CUST009150,2017-02-25 00:08:57,1,late_delivery,86.93
RET000016,ORD0009814,2,PROD00163,SELL00254,CUST006356,2018-07-22 01:43:48,1,late_delivery,43.16
RET000017,ORD0010569,2,PROD01476,SELL00332,CUST001181,2017-03-16 11:30:11,1,wrong_item,105.05
RET000018,ORD0015025,2,PROD01219,SELL00009,CUST006875,2018-05-20 03:02:02,1,damaged,39.81
RET000019,ORD0021616,2,PROD01745,SELL00393,CUST000104,2018-01-02 13:57:51,1,quality_issue,100.71
RET000020,ORD0004174,2,PROD00631,SELL00236,CUST004463,2017-01-28 21:38:07,1,wrong_item,127.9
RET000021,ORD0004929,1,PROD01985,SELL00309,CUST004450,2017-12-28 00:14:44,1,wrong_item,152.56
RET000022,ORD0003138,1,PROD01566,SELL00253,CUST009691,2017-09-19 22:25:35,1,late_delivery,72.57
RET000023,ORD0018096,1,PROD00284,SELL00395,CUST002946,2017-10-14 13:34:44,1,damaged,47.41
RET000024,ORD0023570,1,PROD01295,SELL00317,CUST003825,2017-10-09 07:23:22,1,late_delivery,196.54
RET000025,ORD0024845,2,PROD01775,SELL00250,CUST002264,2018-05-24 22:44:15,1,quality_issue,107.33
RET000026,ORD0014673,1,PROD01135,SELL00032,CUST008215,2018-01-23 07:57:25,1,customer_changed_mind,160.68
RET000027,ORD0022052,1,PROD01248,SELL00150,CUST005539,2018-07-06 20:05:13,1,customer_changed_mind,15.18
RET000028,ORD0013070,1,PROD01832,SELL00384,CUST001152,2017-12-26 21:20:39,1,damaged,30.03
RET000029,ORD0014781,1,PROD01516,SELL00169,CUST007638,2018-01-12 04:59:19,1,quality_issue,170.54
RET000030,ORD0024195,1,PROD00748,SELL00122,CUST004613,2017-12-06 23:28:18,1,late_delivery,89.71
RET000031,ORD0015409,1,PROD01733,SELL00271,CUST002162,2017-10-14 10:47:05,1,quality_issue,43.66
RET000032,ORD0002941,2,PROD01785,SELL00149,CUST004364,2018-02-06 13:13:08,1,quality_issue,472.1
RET000033,ORD0011980,1,PROD00304,SELL00069,CUST006564,2017-08-22 13:00:14,1,late_delivery,125.15
RET000034,ORD0000669,1,PROD01284,SELL00098,CUST002751,2017-08-02 01:36:08,1,quality_issue,155.01
RET000035,ORD0008879,1,PROD00099,SELL00077,CUST001495,2018-05-07 06:02:03,1,quality_issue,93.76
RET000036,ORD0004481,2,PROD00366,SELL00054,CUST005479,2017-12-31 17:49:01,1,damaged,69.58
RET000037,ORD0020901,1,PROD00914,SELL00378,CUST001183,2017-03-11 07:01:45,1,late_delivery,166.8
RET000038,ORD0018865,1,PROD00002,SELL00006,CUST008108,2017-09-10 13:53:42,1,wrong_item,115.33
RET000039,ORD0006146,1,PROD00856,SELL00148,CUST001288,2017-03-17 06:29:37,1,late_delivery,74.3
RET000040,ORD0011978,1,PROD00614,SELL00299,CUST008365,2018-10-12 01:35:39,1,late_delivery,63.07
RET000041,ORD0012405,1,PROD01147,SELL00325,CUST003996,2018-04-25 17:38:08,1,quality_issue,14.42
RET000042,ORD0015916,1,PROD00172,SELL00374,CUST003310,2018-04-09 20:53:58,1,late_delivery,142.2
RET000043,ORD0008019,1,PROD01953,SELL00114,CUST002827,2018-08-14 09:52:38,1,customer_changed_mind,54.93
RET000044,ORD0023545,1,PROD00361,SELL00296,CUST009112,2017-05-03 11:12:25,1,quality_issue,90.62
